Scenario#,Fault#,Fault-line,Alerts,Hazards,T1,T2,T3
3,1,"if _>=99 and _<133:||loaded_suggested_data["rate"]-=0.16||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92403229709484 || Glucose = 79.81576843082671 || Glucose = 79.84817723017089 ,N/A,99.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0,N/A
3,2,"if _>=177 and _<194:||loaded_suggested_data["rate"]-=0.67||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92403229709484 || Glucose = 79.81576843082671 || Glucose = 79.84817723017089 ,N/A,177.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0,N/A
3,3,"if _>=165 and _<168:||loaded_suggested_data["rate"]-=0.74||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92165290328386 || Glucose = 79.81329919997359 || Glucose = 79.84774540112471 ,N/A,165.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0,N/A
3,4,"if _>=52 and _<100:||loaded_suggested_data["rate"]-=1.21||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92403229709484 || Glucose = 79.81760038728697 || Glucose = 79.85710696898275 ,N/A,52.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0,N/A
3,5,"if _>=186 and _<186:||loaded_suggested_data["rate"]-=1.44||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",N/A,N/A,N/A,N/A,N/A
3,6,"if _>=109 and _<167:||loaded_suggested_data["rate"]-=1.61||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92403229709484 || Glucose = 79.81576843082671 || Glucose = 79.84817723017089 ,N/A,109.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0,N/A
3,7,"if _>=73 and _<199:||loaded_suggested_data["rate"]-=2.14||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92029967008747 || Glucose = 79.81019543313323 || Glucose = 79.84203795570359 || Glucose = 282.5919177212318 || Glucose = 287.2633080725292 || Glucose = 291.98078138140454 || Glucose = 296.7435895554768 || Glucose = 301.55098007119625 || Glucose = 306.4021966885291 || Glucose = 311.2964801596139 || Glucose = 316.23306892960846 || Glucose = 321.21119982803805 || Glucose = 326.2301087490569 || Glucose = 331.28903131913665 || Glucose = 336.3872035508013 || Glucose = 341.5238624811355 || Glucose = 346.69824679390007 || Glucose = 351.90959742419716 || Glucose = 357.15715814473356 || Glucose = 362.4401761328375 || Glucose = 367.75790251748674 || Glucose = 373.1095929057083 || Glucose = 378.49450788780825 || Glucose = 383.9119135209852 || Glucose = 389.3610817909743 || Glucose = 394.8412910514553 || Glucose = 400.35182644104356 || Glucose = 405.8919802777634 || Glucose = 411.4610524309787 || Glucose = 417.0583506708267 || Glucose = 422.68319099527025 || Glucose = 428.3348979349446 || Glucose = 434.01280483603443 || Glucose = 439.71625412147085 || Glucose = 445.44459753078723 || Glucose = 451.1971963390187 || Glucose = 456.9734215550719 || Glucose = 462.7726541000272 || Glucose = 468.59428496587026 || Glucose = 474.4377153551796 || Glucose = 480.30235680231965 || Glucose = 486.18763127671497 || Glucose = 492.0929712687964 || Glucose = 498.01781985922815 || Glucose = 503.9616307720348 || Glucose = 509.92386841225925 || Glucose = 515.9040078887867 || Glucose = 521.9015350229769 || Glucose = 527.9159463437448 || Glucose = 533.946749069735 || Glucose = 539.993461079225 , H1 ,73.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0||152.0||153.0||154.0||155.0||156.0||157.0||158.0||159.0||160.0||161.0||162.0||163.0||164.0||165.0||166.0||167.0||168.0||169.0||170.0||171.0||172.0||173.0||174.0||175.0||176.0||177.0||178.0||179.0||180.0||181.0||182.0||183.0||184.0||185.0||186.0||187.0||188.0||189.0||190.0||191.0||192.0||193.0||194.0||195.0||196.0||197.0||198.0||199.0,161.0
3,8,"if _>=80 and _<176:||loaded_suggested_data["rate"]-=2.47||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92029967008747 || Glucose = 79.81019543313323 || Glucose = 79.84240382513964 || Glucose = 280.7602233595544 || Glucose = 285.4038877589969 || Glucose = 290.0942400104088 || Glucose = 294.83052223442206 || Glucose = 299.6119724457688 || Glucose = 304.43782522753935 || Glucose = 309.3073124033801 || Glucose = 314.2196637055646 || Glucose = 319.1741074369844 || Glucose = 324.1698711252197 || Glucose = 329.20618216696784 || Glucose = 334.2822684612271 || Glucose = 339.39735902975286 || Glucose = 344.5506846234238 || Glucose = 349.74147831327474 || Glucose = 354.96897606507105 || Glucose = 360.2324172964161 || Glucose = 365.53104541549595 || Glucose = 370.86410834067766 || Glucose = 376.23085900028383 || Glucose = 381.59433639413027 || Glucose = 386.8881917157187 || Glucose = 392.0226438692595 || Glucose = 396.8897995105653 || Glucose = 401.36855370694207 || Glucose = 405.32924270099375 || Glucose = 408.6381647517448 || Glucose = 411.1620273524513 || Glucose = 412.77232460849956 || Glucose = 413.34960064221406 || Glucose = 412.7875159764285 || Glucose = 410.9966056786691 || Glucose = 407.90760181014616 || Glucose = 403.474189008547 || Glucose = 397.6750707429418 || Glucose = 390.5152440522522 || Glucose = 382.02641077532945 || Glucose = 372.2664910434496 || Glucose = 361.3199537677187 || Glucose = 349.29905931155656 , H1 ,80.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0||160.0||161.0||162.0||163.0||164.0||165.0||166.0||167.0||168.0||169.0||170.0||171.0||172.0||173.0||174.0||175.0||176.0||177.0||178.0||179.0||180.0||181.0||182.0||183.0||184.0||185.0||186.0||187.0||188.0||189.0||190.0||191.0||192.0||193.0||194.0||195.0||196.0||197.0||198.0||199.0,170.0
3,9,"if _>=139 and _<161:||loaded_suggested_data["rate"]-=2.65||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92029967008747 || Glucose = 79.81019543313323 || Glucose = 79.84240382513964 ,N/A,139.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0,N/A
3,10,"if _>=69 and _<87:||loaded_suggested_data["rate"]-=3.0||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92029967008747 || Glucose = 79.81019543313323 || Glucose = 79.84240382513964 ,N/A,69.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0,N/A
