
Alerts for fault 1::
Alert|| Glucose = 320.0 || Time(sec)=0
Alert|| Glucose = 320 || Time(sec)=1
Alert|| Glucose = 320 || Time(sec)=2
Alert|| Glucose = 320 || Time(sec)=3
Alert|| Glucose = 320 || Time(sec)=4
Alert|| Glucose = 319.9715747399378 || Time(sec)=5
Alert|| Glucose = 319.8652618021538 || Time(sec)=6
Alert|| Glucose = 319.6167077541378 || Time(sec)=7
Alert|| Glucose = 319.15184318635784 || Time(sec)=8
Alert|| Glucose = 318.39131753594023 || Time(sec)=9
Alert|| Glucose = 317.25437083516346 || Time(sec)=10
Alert|| Glucose = 315.6928061072423 || Time(sec)=11
Alert|| Glucose = 313.65495196806125 || Time(sec)=12
Alert|| Glucose = 311.0895159473967 || Time(sec)=13
Alert|| Glucose = 307.94891995800646 || Time(sec)=14
Alert|| Glucose = 304.19215174335324 || Time(sec)=15
Alert|| Glucose = 299.7871438318693 || Time(sec)=16
Alert|| Glucose = 294.71267589926964 || Time(sec)=17
Alert|| Glucose = 288.95978824683436 || Time(sec)=18
Alert|| Glucose = 282.5326932004484 || Time(sec)=19

Alerts for fault 2::
Alert|| Glucose = 320.0 || Time(sec)=0
Alert|| Glucose = 320 || Time(sec)=1
Alert|| Glucose = 320 || Time(sec)=2
Alert|| Glucose = 320 || Time(sec)=3
Alert|| Glucose = 320 || Time(sec)=4
Alert|| Glucose = 319.9715747399378 || Time(sec)=5
Alert|| Glucose = 319.8652618021538 || Time(sec)=6
Alert|| Glucose = 319.6167077541378 || Time(sec)=7
Alert|| Glucose = 319.15184318635784 || Time(sec)=8
Alert|| Glucose = 318.39131753594023 || Time(sec)=9
Alert|| Glucose = 317.25437083516346 || Time(sec)=10
Alert|| Glucose = 315.6928061072423 || Time(sec)=11
Alert|| Glucose = 313.65495196806125 || Time(sec)=12
Alert|| Glucose = 311.0895159473967 || Time(sec)=13
Alert|| Glucose = 307.94891995800646 || Time(sec)=14
Alert|| Glucose = 304.19215174335324 || Time(sec)=15
Alert|| Glucose = 299.7871438318693 || Time(sec)=16
Alert|| Glucose = 294.71267589926964 || Time(sec)=17
Alert|| Glucose = 288.95978824683436 || Time(sec)=18
Alert|| Glucose = 282.5326932004484 || Time(sec)=19
Alert|| Glucose = 79.84107110501805 || Time(sec)=54
Alert|| Glucose = 79.4193185807642 || Time(sec)=55
Alert|| Glucose = 79.16526941672556 || Time(sec)=56
Alert|| Glucose = 79.06513326658857 || Time(sec)=57
Alert|| Glucose = 79.10574347445358 || Time(sec)=58
Alert|| Glucose = 79.27467375078616 || Time(sec)=59
Alert|| Glucose = 79.55974765600187 || Time(sec)=60
