Scenario#,Fault#,Fault-line,Alerts,Hazards,T1,T2,T3
7,1,"if _>=28:||data_to_prepend["glucose"]=str(float(loaded_glucose)-37)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6928061072423 || Glucose = 313.65495196806125 || Glucose = 311.0895159473967 || Glucose = 307.94891995800646 || Glucose = 304.19215174335324 || Glucose = 299.7871438318693 || Glucose = 294.71267589926964 || Glucose = 288.95978824683436 || Glucose = 282.5326932004484 ,N/A,28.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||19.0,N/A
7,2,"if _>=74:||data_to_prepend["glucose"]=str(float(loaded_glucose)-49)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6928061072423 || Glucose = 313.65495196806125 || Glucose = 311.0895159473967 || Glucose = 307.94891995800646 || Glucose = 304.19215174335324 || Glucose = 299.7871438318693 || Glucose = 294.71267589926964 || Glucose = 288.95978824683436 || Glucose = 282.5326932004484 || Glucose = 79.84107110501805 || Glucose = 79.4193185807642 || Glucose = 79.16526941672556 || Glucose = 79.06513326658857 || Glucose = 79.10574347445358 || Glucose = 79.27467375078616 || Glucose = 79.55974765600187 || Glucose = 79.94939824517903 ,N/A,74.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||19.0||54.0||55.0||56.0||57.0||58.0||59.0||60.0||61.0,N/A
7,3,"if _>=52:||data_to_prepend["glucose"]=str(float(loaded_glucose)-74)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6928061072423 || Glucose = 313.65495196806125 || Glucose = 311.0895159473967 || Glucose = 307.94891995800646 || Glucose = 304.19215174335324 || Glucose = 299.7871438318693 || Glucose = 294.71267589926964 || Glucose = 288.95978824683436 || Glucose = 282.5326932004484 || Glucose = 79.84107110501805 || Glucose = 79.4193185807642 || Glucose = 79.16472330038398 || Glucose = 79.06385565334229 || Glucose = 79.10417022906019 || Glucose = 79.27403221821211 || Glucose = 79.56270764833097 || Glucose = 79.96124190366764 ,N/A,52.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||19.0||54.0||55.0||56.0||57.0||58.0||59.0||60.0||61.0,N/A
7,4,"if _>=15:||data_to_prepend["glucose"]=str(float(loaded_glucose)-103)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6928061072423 || Glucose = 313.65495196806125 || Glucose = 311.0895159473967 || Glucose = 307.94891995800646 || Glucose = 304.19215174335324 || Glucose = 299.7871438318693 || Glucose = 294.71267589926964 || Glucose = 288.95978824683436 || Glucose = 282.5605111081491 ,N/A,15.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||19.0,N/A
7,5,"if _>=14:||data_to_prepend["glucose"]=str(float(loaded_glucose)-155)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.870032375425 ,N/A,14.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0,N/A
7,6,"if _>=147:||data_to_prepend["glucose"]=str(float(loaded_glucose)-178)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'",N/A,N/A,N/A,N/A,N/A
7,7,"if _>=65:||data_to_prepend["glucose"]=str(float(loaded_glucose)-207)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'",N/A,N/A,N/A,N/A,N/A
7,8,"if _>=60:||data_to_prepend["glucose"]=str(float(loaded_glucose)-243)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6928061072423 || Glucose = 313.65495196806125 || Glucose = 311.0895159473967 || Glucose = 307.94891995800646 || Glucose = 304.19215174335324 || Glucose = 299.7871438318693 || Glucose = 294.71267589926964 || Glucose = 288.95978824683436 || Glucose = 282.5326932004484 || Glucose = 79.84107110501805 || Glucose = 79.4193185807642 || Glucose = 79.16526941672556 || Glucose = 79.06513326658857 || Glucose = 79.10574347445358 || Glucose = 79.27467375078616 || Glucose = 79.55974765600187 || Glucose = 79.94939824517903 || Glucose = 282.7183359462849 || Glucose = 287.458104541629 || Glucose = 292.2424602954988 || Glucose = 297.07067905535337 || Glucose = 301.9420315896514 || Glucose = 306.85578437465045 || Glucose = 311.8112003688525 || Glucose = 316.80753977364145 || Glucose = 321.8338945165701 || Glucose = 326.8710598257477 || Glucose = 331.89315379993565 || Glucose = 336.8690291537742 || Glucose = 341.7627446532764 || Glucose = 346.53247014325916 || Glucose = 351.12889205867083 || Glucose = 355.4972713890634 || Glucose = 359.57932746343204 || Glucose = 363.30838837684416 || Glucose = 366.61905713473897 || Glucose = 369.44101663201974 || Glucose = 371.7104586873029 || Glucose = 373.3632352735585 || Glucose = 374.3442596349952 || Glucose = 374.60300689236647 || Glucose = 374.1022098966567 || Glucose = 372.8133299603133 || Glucose = 370.72589601123553 || Glucose = 367.84221251657146 || Glucose = 364.1806373016163 || Glucose = 359.77322546977837 || Glucose = 354.6634009502948 || Glucose = 348.90775835123736 || Glucose = 342.5797314674377 || Glucose = 335.7638971365582 || Glucose = 328.55101811450106 || Glucose = 321.03386085565086 || Glucose = 313.3037917800756 || Glucose = 305.4481240721746 || Glucose = 297.5481605753986 || Glucose = 289.677859000458 || Glucose = 281.9030339229226 , H1 ,60.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||19.0||54.0||55.0||56.0||57.0||58.0||59.0||60.0||61.0||140.0||141.0||142.0||143.0||144.0||145.0||146.0||147.0||148.0||149.0||150.0||151.0||152.0||153.0||154.0||155.0||156.0||157.0||158.0||159.0||160.0||161.0||162.0||163.0||164.0||165.0||166.0||167.0||168.0||169.0||170.0||171.0||172.0||173.0||174.0||175.0||176.0||177.0||178.0||179.0||180.0,149.0
7,9,"if _>=68:||data_to_prepend["glucose"]=str(float(loaded_glucose)-267)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92029967008747 || Glucose = 79.81019543313323 || Glucose = 79.84240382513964 || Glucose = 281.1849191693827 || Glucose = 285.84325593073993 || Glucose = 290.5478475443155 || Glucose = 295.2979501761053 || Glucose = 300.0928151879395 || Glucose = 304.9316898636769 || Glucose = 309.8138181291868 || Glucose = 314.7384412643672 || Glucose = 319.70479860553684 || Glucose = 324.7121282366312 || Glucose = 329.75966766773183 || Glucose = 334.84665449955736 || Glucose = 339.97232707265016 || Glucose = 345.13592510009505 || Glucose = 350.32561497085334 || Glucose = 355.5317957733755 || Glucose = 360.7329267440711 || Glucose = 365.89785266924446 || Glucose = 370.9878310476038 || Glucose = 375.9532164886048 || Glucose = 380.7360428880714 || Glucose = 385.2723538705406 || Glucose = 389.48727472858985 || Glucose = 393.3064796519946 || Glucose = 396.6477828169247 || Glucose = 399.43472068529024 || Glucose = 401.5885202996234 || Glucose = 403.04047231076026 || Glucose = 403.72619338778605 || Glucose = 403.59617421354835 || Glucose = 402.6100373407596 || Glucose = 400.7450734865398 || Glucose = 397.99505592674103 || Glucose = 394.369831685186 || Glucose = 389.89359789846895 || Glucose = 384.60309719542636 || Glucose = 378.55634274371954 || Glucose = 371.8315629972938 || Glucose = 364.5207969889862 || Glucose = 356.7242501739065 || Glucose = 348.5454706344906 || Glucose = 340.0873684519128 || Glucose = 331.4490634333706 || Glucose = 322.72351361513955 || Glucose = 313.9958518980674 || Glucose = 305.3423417458908 || Glucose = 296.82985469803396 || Glucose = 288.5157713321245 || Glucose = 280.44821169317873 , H1 ,68.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0||150.0||151.0||152.0||153.0||154.0||155.0||156.0||157.0||158.0||159.0||160.0||161.0||162.0||163.0||164.0||165.0||166.0||167.0||168.0||169.0||170.0||171.0||172.0||173.0||174.0||175.0||176.0||177.0||178.0||179.0||180.0||181.0||182.0||183.0||184.0||185.0||186.0||187.0||188.0||189.0||190.0||191.0||192.0||193.0||194.0||195.0||196.0||197.0||198.0,160.0
7,10,"if _>=94:||data_to_prepend["glucose"]=str(float(loaded_glucose)-308)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'",N/A,N/A,N/A,N/A,N/A
