Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
9,2,if _>=6 and _<55:||rate_refresh=0,patientA,120,row_1||row_1||row_1,3,0,147,0,0,3,,0.02, 6.0,56.0,N/A,50.0,N/A,N/A,0.98,0.494949494949495,0.98989898989899,150,0,0,0,0,0,1,N/A
17,2,if _>=21 and _<62:||data_to_prepend["glucose"]+=32,patientA,180,row_1||row_1||row_1||row_1||row_1||row_1,6,0,144,0,0,6,,0.04, 21.0,86.0,N/A,65.0,N/A,N/A,0.96,0.4897959183673469,0.9795918367346937,150,0,0,0,0,0,1,N/A
13,2,if _>=10 and _<72:||loaded_suggested_data["rate"]-=0.5||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientA,140,row_1||row_1||row_1||row_1||row_1||row_1,6,0,144,0,0,6,,0.04, 10.0,34.0,N/A,24.0,N/A,N/A,0.96,0.4897959183673469,0.9795918367346937,150,0,0,0,0,0,1,N/A
18,17,if _>=23 and _<63:||data_to_prepend["glucose"]-=64||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientA,120,row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_5||row_5||row_7,11,0,139,0,0,11,,0.07333333333333333, 23.0,52.0,N/A,29.0,N/A,N/A,0.9266666666666666,0.4809688581314879,0.9619377162629758,150,0,0,0,0,0,1,N/A
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientA,180,row_1||row_1||row_1||row_1,4,0,146,0,0,4,,0.02666666666666667, 24.0,96.0,N/A,72.0,N/A,N/A,0.9733333333333334,0.49324324324324326,0.9864864864864864,150,0,0,0,0,0,1,N/A
20,8,if _>=27 and _<79:||loaded_suggested_data["rate"]=0,patientA,100,row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_5||row_7||row_7||row_7||row_7||row_5||row_7||row_7||row_7||row_7||row_7||row_5||row_7||row_7,33,25,94,23,2,31,0.08,0.248, 27.0,46.0,77.0,19.0,31.0,50.0,0.64,0.42291251068680535,0.6588771729837559,150,203.93498185426566,0,0,0,1,0,H2
21,8,if _>=89 and _<115:||data_to_prepend["glucose"]=175,patientA,180,N/A,0,0,150,0,0,0,,0.0, 89.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
12,15,if _>=74 and _<116:||loaded_suggested_data["rate"]+=1,patientA,200,row_1,1,0,149,0,0,1,,0.006666666666666667, 74.0,146.0,N/A,72.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
22,8,if _>=75 and _<110:||data_to_prepend["glucose"]=80,patientA,200,row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_5||row_7||row_7||row_5||row_7,13,4,133,4,0,13,0.0,0.08904109589041095, 75.0,97.0,128.0,22.0,31.0,53.0,0.8866666666666667,0.46996466431095407,0.914864546525324,150,190.92518429820785,0,0,0,1,0,H2
18,5,if _>=12 and _<83:||data_to_prepend["glucose"]-=32||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientA,160,N/A,0,0,150,0,0,0,,0.0, 12.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
