Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
13,10,if _>=9 and _<23:||loaded_suggested_data["rate"]-=1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientB,160,row_6||row_6,2,0,148,0,0,2,,0.013333333333333334, 9.0,33.0,N/A,24.0,N/A,N/A,0.9866666666666668,0.4966442953020134,0.993288590604027,150,0,0,0,0,0,1,N/A
9,4,if _>=19 and _<39:||rate_refresh=0,patientB,200,N/A,0,7,143,7,0,0,0.0,0.0, 19.0,N/A,54.0,N/A,N/A,35.0,0.9533333333333334,0.4880546075085324,0.9305574516496017,150,73.52438061184746,0,0,1,0,0,H1
12,11,if _>=6 and _<68:||loaded_suggested_data["rate"]+=1,patientB,180,row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,50,40,88,12,28,22,0.7,0.2, 6.0,17.0,40.0,11.0,23.0,34.0,0.7733333333333333,0.7301587301587302,0.7805291005291005,150,64.78960717909041,1.0,0,0,1,0,H1
18,7,if _>=24 and _<28:||data_to_prepend["glucose"]-=32||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientB,140,row_6||row_6||row_6,3,0,147,0,0,3,,0.02, 24.0,31.0,N/A,7.0,N/A,N/A,0.98,0.494949494949495,0.98989898989899,150,0,0,0,0,0,1,N/A
21,5,if _>=70 and _<93:||data_to_prepend["glucose"]=175,patientB,80,row_6||row_6||row_3||row_3||row_3||row_9||row_9||row_9||row_9||row_9||row_9||row_9,12,30,116,22,8,4,0.26666666666666666,0.03333333333333333, 70.0,78.0,84.0,8.0,6.0,14.0,0.8266666666666667,0.6400885935769656,0.7955703211517164,150,71.85308131570218,0.9333333333333333,0,0,1,0,H1
19,2,if _>=29 and _<71:||loaded_suggested_data["rate"]=2,patientB,140,row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,41,40,91,18,22,19,0.55,0.17272727272727273, 29.0,30.0,49.0,1.0,19.0,20.0,0.7533333333333333,0.6871300524268562,0.7542928011725578,150,65.66534867573995,1.0,0,0,1,0,H1
17,1,if _>=21 and _<31:||data_to_prepend["glucose"]+=32,patientB,80,row_6,1,9,140,9,0,1,0.0,0.0070921985815602835, 21.0,30.0,44.0,9.0,14.0,23.0,0.9333333333333333,0.48275862068965514,0.9075862068965518,150,73.94315216071054,0,0,0,1,0,H1
22,7,if _>=75 and _<106:||data_to_prepend["glucose"]=80,patientB,200,row_6||row_6,2,0,148,0,0,2,,0.013333333333333334, 75.0,40.0,N/A,-35.0,N/A,N/A,0.9866666666666668,0.4966442953020134,0.993288590604027,150,0,0,0,0,0,1,N/A
17,4,if _>=71 and _<80:||data_to_prepend["glucose"]+=32,patientB,180,N/A,0,14,136,14,0,0,0.0,0.0, 71.0,N/A,86.0,N/A,N/A,15.0,0.9066666666666666,0.47552447552447547,0.8622843822843822,150,74.49936952704344,0,0,1,0,0,H1
21,6,if _>=70 and _<113:||data_to_prepend["glucose"]=175,patientB,120,row_6||row_6||row_3||row_3||row_3||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,33,44,102,15,29,4,0.6590909090909091,0.03773584905660377, 70.0,78.0,83.0,8.0,5.0,13.0,0.8733333333333333,0.8340224797623901,0.8674097800555202,150,72.74471158854874,0.9545454545454546,0,0,1,0,H1
