Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
20,2,if _>=9 and _<55:||loaded_suggested_data["rate"]=0,patientF,80,N/A,0,12,138,12,0,0,0.0,0.0, 9.0,N/A,100.0,N/A,N/A,91.0,0.92,0.4791666666666667,0.8816666666666667,150,70.09750999497356,0.9166666666666666,0,1,0,0,H1
12,18,if _>=91 and _<117:||loaded_suggested_data["rate"]+=1,patientF,100,row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_9||row_9||row_9,13,45,100,37,8,5,0.17777777777777778,0.047619047619047616, 91.0,19.0,64.0,-72.0,45.0,-27.0,0.72,0.5511541749786264,0.66127101738387,150,75.87176031623598,0.7111111111111111,0,0,1,0,H1
19,5,if _>=43 and _<85:||loaded_suggested_data["rate"]=2,patientF,120,row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,31,30,48,6,24,7,0.8,0.12727272727272726, 43.0,44.0,51.0,1.0,7.0,8.0,0.8470588235294118,0.8338095954278839,0.8476108747003087,85,73.38392190899013,0.8333333333333334,0,0,1,0,H1
18,7,if _>=24 and _<28:||data_to_prepend["glucose"]-=32||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientF,120,row_6||row_6,2,13,135,13,0,2,0.0,0.014598540145985401, 24.0,31.0,49.0,7.0,18.0,25.0,0.9,0.4736842105263158,0.8652631578947368,150,71.56717824367958,0.7692307692307693,0,0,1,0,H1
13,7,if _>=29 and _<35:||loaded_suggested_data["rate"]-=0.5||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientF,120,N/A,0,8,142,8,0,0,0.0,0.0, 29.0,N/A,52.0,N/A,N/A,23.0,0.9466666666666667,0.48630136986301364,0.9207305936073059,150,74.47352139491623,0,0,1,0,0,H1
19,5,if _>=43 and _<85:||loaded_suggested_data["rate"]=2,patientF,180,row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,27,36,44,9,27,0,0.75,0.0, 43.0,46.0,44.0,3.0,-2.0,1.0,0.8875,0.882179675994109,0.8846833578792342,80,67.54257634169836,1.0,0,0,1,0,H1
20,6,if _>=11 and _<95:||loaded_suggested_data["rate"]=0,patientF,160,row_5,1,12,137,12,0,1,0.0,0.007246376811594203, 11.0,90.0,138.0,79.0,48.0,127.0,0.9133333333333333,0.4773519163763066,0.8783275261324042,150,66.07143027729362,1.0,0,0,1,0,H1
13,17,if _>=25 and _<74:||loaded_suggested_data["rate"]-=1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientF,140,N/A,0,16,134,16,0,0,0.0,0.0, 25.0,N/A,49.0,N/A,N/A,24.0,0.8933333333333333,0.47183098591549294,0.8430046948356807,150,72.9951476511774,0,0,1,0,0,H1
19,7,if _>=84 and _<85:||loaded_suggested_data["rate"]=2,patientF,120,N/A,0,17,133,17,0,0,0.0,0.0, 84.0,N/A,52.0,N/A,N/A,-32.0,0.8866666666666667,0.46996466431095407,0.8334040047114253,150,74.31422074411725,0,0,1,0,0,H1
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientF,120,row_6||row_6||row_6||row_6||row_9||row_9||row_9||row_9||row_9||row_9,10,35,111,29,6,4,0.17142857142857143,0.034782608695652174, 71.0,84.0,52.0,13.0,-32.0,-19.0,0.78,0.5686274509803921,0.729673202614379,150,74.30826557308522,0.7428571428571429,0,0,1,0,H1
21,4,if _>=70 and _<86:||data_to_prepend["glucose"]=175,patientF,80,row_6||row_6||row_6||row_3,4,34,106,33,1,3,0.029411764705882353,0.027522935779816515, 70.0,78.0,81.0,8.0,3.0,11.0,0.7482517482517482,0.4537351443123939,0.6641041471262185,143,74.83777338875375,0.8529411764705882,0,0,1,0,H1
13,11,if _>=9 and _<69:||loaded_suggested_data["rate"]-=1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientF,140,N/A,0,9,141,9,0,0,0.0,0.0, 9.0,N/A,115.0,N/A,N/A,106.0,0.94,0.4845360824742268,0.9109278350515463,150,73.1057954652312,0,0,1,0,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientF,80,row_3||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,12,32,116,22,10,2,0.3125,0.01694915254237288, 24.0,34.0,46.0,10.0,12.0,22.0,0.8399999999999999,0.6803977272727272,0.8098863636363636,150,68.59338836287029,1.0,0,0,1,0,H1
13,4,if _>=12 and _<13:||loaded_suggested_data["rate"]-=0.5||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientF,180,N/A,0,23,127,23,0,0,0.0,0.0, 12.0,N/A,44.0,N/A,N/A,32.0,0.8466666666666667,0.4584837545126354,0.7763658243080627,150,67.53943656173816,0.6086956521739131,0,1,0,0,H1
22,7,if _>=75 and _<106:||data_to_prepend["glucose"]=80,patientF,80,N/A,0,34,116,34,0,0,0.0,0.0, 75.0,N/A,76.0,N/A,N/A,1.0,0.7733333333333333,0.43609022556390975,0.6744862155388471,150,76.0423937277528,0,0,1,0,0,H1
18,7,if _>=24 and _<28:||data_to_prepend["glucose"]-=32||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientF,80,N/A,0,0,150,0,0,0,,0.0, 24.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
