Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
17,7,if _>=86 and _<91:||data_to_prepend["glucose"]+=32,patientG,160,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
13,18,if _>=25 and _<118:||loaded_suggested_data["rate"]-=1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientG,200,N/A,0,0,150,0,0,0,,0.0, 25.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
20,6,if _>=11 and _<95:||loaded_suggested_data["rate"]=0,patientG,160,row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_5||row_7||row_7||row_7||row_7||row_7||row_5||row_7||row_7||row_7||row_7||row_7||row_5||row_7||row_7||row_7||row_7||row_7||row_5||row_7||row_7||row_7||row_7||row_7||row_5||row_7||row_7||row_7||row_7||row_7||row_5||row_7||row_7||row_7||row_7,59,42,70,21,21,38,0.5,0.35185185185185186, 11.0,36.0,74.0,25.0,38.0,63.0,0.6066666666666667,0.5596795860490571,0.6229683068809393,150,198.11566057270943,0,0,0,1,0,H2
20,4,if _>=11 and _<47:||loaded_suggested_data["rate"]=0,patientG,180,row_7||row_7||row_7||row_7||row_7||row_7,6,0,144,0,0,6,,0.04, 11.0,41.0,N/A,30.0,N/A,N/A,0.96,0.4897959183673469,0.9795918367346937,150,0,0,0,0,0,1,N/A
9,3,if _>=6 and _<94:||rate_refresh=0,patientG,100,row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7,10,0,140,0,0,10,,0.06666666666666667, 6.0,84.0,N/A,78.0,N/A,N/A,0.9333333333333333,0.4827586206896552,0.9655172413793105,150,0,0,0,0,0,1,N/A
9,6,if _>=19 and _<89:||rate_refresh=0,patientG,100,row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7,8,0,142,0,0,8,,0.05333333333333334, 19.0,81.0,N/A,62.0,N/A,N/A,0.9466666666666667,0.48630136986301364,0.9726027397260272,150,0,0,0,0,0,1,N/A
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientG,160,N/A,0,0,150,0,0,0,,0.0, 24.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
21,3,if _>=22 and _<87:||data_to_prepend["glucose"]=175,patientG,120,N/A,0,0,150,0,0,0,,0.0, 22.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
14,7,if _>=21 and _<25:||glucose_refresh=0,patientG,160,N/A,0,0,150,0,0,0,,0.0, 21.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
21,6,if _>=70 and _<113:||data_to_prepend["glucose"]=175,patientG,200,row_3,1,0,149,0,0,1,,0.006666666666666667, 70.0,108.0,N/A,38.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
