Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
20,6,if _>=11 and _<95:||loaded_suggested_data["rate"]=0,patientH,200,row_5||row_7||row_5||row_7||row_7||row_7||row_7||row_7||row_5||row_7||row_7||row_7||row_7||row_7||row_5||row_7||row_7||row_7||row_7||row_7||row_5||row_7||row_7||row_7||row_7,25,25,106,19,6,19,0.24,0.152, 11.0,66.0,89.0,55.0,23.0,78.0,0.7466666666666667,0.544,0.7466666666666667,150,207.9139002705822,0,0,0,1,0,H2
17,5,if _>=71 and _<102:||data_to_prepend["glucose"]+=32,patientH,200,row_6,1,0,149,0,0,1,,0.006666666666666667, 71.0,46.0,N/A,-25.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
14,3,if _>=7 and _<100:||glucose_refresh=0,patientH,100,N/A,0,0,150,0,0,0,,0.0, 7.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
14,2,if _>=7 and _<64:||glucose_refresh=0,patientH,120,row_6||row_6||row_6||row_6||row_6||row_6||row_6,7,11,132,11,0,7,0.0,0.050359712230215826, 7.0,29.0,70.0,22.0,41.0,63.0,0.88,0.4680851063829787,0.8675177304964539,150,73.8744175333829,0,0,0,1,0,H1
22,9,if _>=75 and _<116:||data_to_prepend["glucose"]=80,patientH,140,N/A,0,0,150,0,0,0,,0.0, 75.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientH,80,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
18,18,if _>=23 and _<112:||data_to_prepend["glucose"]-=64||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientH,120,row_5||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7||row_7,15,0,135,0,0,15,,0.1, 23.0,71.0,N/A,48.0,N/A,N/A,0.9,0.4736842105263158,0.9473684210526316,150,0,0,0,0,0,1,N/A
21,4,if _>=70 and _<86:||data_to_prepend["glucose"]=175,patientH,160,row_6||row_6||row_6||row_3||row_3,5,9,136,9,0,5,0.0,0.03546099290780142, 70.0,42.0,105.0,-28.0,63.0,35.0,0.9066666666666666,0.4755244755244755,0.8939860139860141,150,71.52109526688176,0,0,0,1,0,H1
17,2,if _>=21 and _<62:||data_to_prepend["glucose"]+=32,patientH,80,row_6||row_6||row_6,3,1,146,1,0,3,0.0,0.020134228187919462, 21.0,43.0,76.0,22.0,33.0,55.0,0.9733333333333334,0.49324324324324326,0.9799099099099099,150,76.29322672081514,0,0,0,1,0,H1
14,9,if _>=21 and _<88:||glucose_refresh=0,patientH,140,row_3||row_3||row_6||row_3||row_6||row_3||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,30,39,105,15,24,6,0.6153846153846154,0.05405405405405406, 21.0,33.0,62.0,12.0,29.0,41.0,0.8599999999999999,0.8023715415019763,0.853596837944664,150,71.64344428840343,0.9230769230769231,0,0,1,0,H1
