Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
20,2,if _>=9 and _<55:||loaded_suggested_data["rate"]=0,patientF,80,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,16,12,134,0,12,4,1.0,0.028985507246376812, 9.0,99.0,100.0,90.0,1.0,91.0,0.9733333333333334,0.921218487394958,0.9750420168067226,150,70.09750999497356,0.9166666666666666,0,0,1,0,H1
12,18,if _>=91 and _<117:||loaded_suggested_data["rate"]+=1,patientF,100,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,38,45,101,11,34,4,0.7555555555555555,0.0380952380952381, 91.0,112.0,64.0,21.0,-48.0,-27.0,0.9,0.8750763422353006,0.897396035755927,150,75.87176031623598,0.7111111111111111,0,0,1,0,H1
19,5,if _>=43 and _<85:||loaded_suggested_data["rate"]=2,patientF,120,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,31,30,51,3,27,4,0.9,0.07272727272727272, 43.0,54.0,51.0,11.0,-3.0,8.0,0.9176470588235294,0.910512859076553,0.9179443171463203,85,73.38392190899013,0.8333333333333334,0,0,1,0,H1
18,7,if _>=24 and _<28:||data_to_prepend["glucose"]-=32||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientF,120,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,13,13,136,1,12,1,0.9230769230769231,0.0072992700729927005, 24.0,50.0,49.0,26.0,-1.0,25.0,0.9866666666666668,0.9578888265019652,0.9866666666666667,150,71.56717824367958,0.7692307692307693,0,0,1,0,H1
13,7,if _>=29 and _<35:||loaded_suggested_data["rate"]-=0.5||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientF,120,N/A,0,8,142,8,0,0,0.0,0.0, 29.0,N/A,52.0,N/A,N/A,23.0,0.9466666666666667,0.48630136986301364,0.9207305936073059,150,74.47352139491623,0,0,1,0,0,H1
19,5,if _>=43 and _<85:||loaded_suggested_data["rate"]=2,patientF,180,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,39,36,41,0,36,3,1.0,0.06818181818181818, 43.0,41.0,44.0,-2.0,3.0,1.0,0.9625000000000001,0.9623529411764706,0.9625882352941175,80,67.54257634169836,1.0,0,0,1,0,H1
20,6,if _>=11 and _<95:||loaded_suggested_data["rate"]=0,patientF,160,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,16,12,134,0,12,4,1.0,0.028985507246376812, 11.0,134.0,138.0,123.0,4.0,127.0,0.9733333333333334,0.921218487394958,0.9750420168067226,150,66.07143027729362,1.0,0,0,1,0,H1
13,17,if _>=25 and _<74:||loaded_suggested_data["rate"]-=1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientF,140,N/A,0,16,134,16,0,0,0.0,0.0, 25.0,N/A,49.0,N/A,N/A,24.0,0.8933333333333333,0.47183098591549294,0.8430046948356807,150,72.9951476511774,0,0,1,0,0,H1
19,7,if _>=84 and _<85:||loaded_suggested_data["rate"]=2,patientF,120,N/A,0,17,133,17,0,0,0.0,0.0, 84.0,N/A,52.0,N/A,N/A,-32.0,0.8866666666666667,0.46996466431095407,0.8334040047114253,150,74.31422074411725,0,0,1,0,0,H1
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientF,120,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,46,35,97,7,28,18,0.8,0.1565217391304348, 71.0,96.0,52.0,25.0,-44.0,-19.0,0.8333333333333334,0.7886013867749028,0.8404645132194599,150,74.30826557308522,0.7428571428571429,0,0,1,0,H1
21,4,if _>=70 and _<86:||data_to_prepend["glucose"]=175,patientF,80,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,59,34,81,3,31,28,0.9117647058823529,0.25688073394495414, 70.0,84.0,81.0,14.0,-3.0,11.0,0.7832167832167832,0.7530224525043179,0.798313948573016,143,74.83777338875375,0.8529411764705882,0,0,1,0,H1
13,11,if _>=9 and _<69:||loaded_suggested_data["rate"]-=1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientF,140,N/A,0,9,141,9,0,0,0.0,0.0, 9.0,N/A,115.0,N/A,N/A,106.0,0.94,0.4845360824742268,0.9109278350515463,150,73.1057954652312,0,0,1,0,0,H1
