Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
12,18,if _>=91 and _<117:||loaded_suggested_data["rate"]+=1,patientI,140,N/A,0,0,150,0,0,0,,0.0, 91.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
21,6,if _>=70 and _<113:||data_to_prepend["glucose"]=175,patientI,180,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,47,30,103,0,30,17,1.0,0.14166666666666666, 70.0,103.0,103.0,33.0,0.0,33.0,0.8866666666666667,0.8514937976821384,0.894857608758954,150,71.45894027546463,0.9333333333333333,0,0,1,0,H1
13,3,if _>=10 and _<83:||loaded_suggested_data["rate"]-=0.5||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientI,140,N/A,0,0,150,0,0,0,,0.0, 10.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
22,4,if _>=47 and _<66:||data_to_prepend["glucose"]=80,patientI,100,N/A,0,0,150,0,0,0,,0.0, 47.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
14,8,if _>=21 and _<64:||glucose_refresh=0,patientI,200,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,63,26,87,0,26,37,1.0,0.29838709677419356, 21.0,5.0,59.0,-16.0,54.0,38.0,0.7533333333333333,0.7044571063421907,0.7829795693771412,150,68.27703818238989,1.0,0,0,1,0,H1
17,16,if _>=98 and _<103:||data_to_prepend["glucose"]+=64,patientI,80,N/A,0,0,150,0,0,0,,0.0, 98.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
18,11,if _>=9 and _<79:||data_to_prepend["glucose"]-=64||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,120,N/A,0,0,150,0,0,0,,0.0, 9.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
20,9,if _>=27 and _<96:||loaded_suggested_data["rate"]=0,patientI,140,N/A,0,0,150,0,0,0,,0.0, 27.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
22,5,if _>=47 and _<85:||data_to_prepend["glucose"]=80,patientI,80,N/A,0,0,150,0,0,0,,0.0, 47.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
14,5,if _>=11 and _<83:||glucose_refresh=0,patientI,160,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,61,38,89,0,38,23,1.0,0.20535714285714285, 11.0,61.0,62.0,50.0,1.0,51.0,0.8466666666666667,0.8266244534901251,0.8557053118247149,150,70.61003844521652,0.9736842105263158,0,0,1,0,H1
17,9,if _>=86 and _<116:||data_to_prepend["glucose"]+=32,patientI,100,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,2,if _>=21 and _<62:||data_to_prepend["glucose"]+=32,patientI,100,N/A,0,0,150,0,0,0,,0.0, 21.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
12,11,if _>=6 and _<68:||loaded_suggested_data["rate"]+=1,patientI,120,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,28,23,118,4,19,9,0.8260869565217391,0.07086614173228346, 6.0,67.0,63.0,61.0,-4.0,57.0,0.9133333333333333,0.8464446019371604,0.9167115520907158,150,72.79920056538097,0.7391304347826086,0,0,1,0,H1
14,1,if _>=7 and _<27:||glucose_refresh=0,patientI,100,N/A,0,0,150,0,0,0,,0.0, 7.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
18,1,if _>=10 and _<30:||data_to_prepend["glucose"]-=32||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,160,N/A,0,0,150,0,0,0,,0.0, 10.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
19,1,if _>=29 and _<47:||loaded_suggested_data["rate"]=2,patientI,140,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,23,15,127,0,15,8,1.0,0.05925925925925926, 29.0,61.0,62.0,32.0,1.0,33.0,0.9466666666666667,0.8794696665327442,0.9514664523905183,150,70.16728618444645,0.9333333333333333,0,0,1,0,H1
12,6,if _>=33 and _<119:||loaded_suggested_data["rate"]+=0.5,patientI,200,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,13,0,137,0,0,13,,0.08666666666666667, 33.0,5.0,N/A,-28.0,N/A,N/A,0.9133333333333333,0.47735191637630664,0.9547038327526133,150,0,0,0,0,0,1,N/A
18,13,if _>=11 and _<44:||data_to_prepend["glucose"]-=64||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,80,N/A,0,0,150,0,0,0,,0.0, 11.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
18,14,if _>=11 and _<54:||data_to_prepend["glucose"]-=64||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,120,N/A,0,0,150,0,0,0,,0.0, 11.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
22,8,if _>=75 and _<110:||data_to_prepend["glucose"]=80,patientI,120,N/A,0,0,150,0,0,0,,0.0, 75.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
21,1,if _>=22 and _<47:||data_to_prepend["glucose"]=175,patientI,120,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,20,15,130,0,15,5,1.0,0.037037037037037035, 22.0,58.0,59.0,36.0,1.0,37.0,0.9666666666666667,0.9191374663072776,0.9687331536388141,150,70.71778971901362,0.9333333333333333,0,0,1,0,H1
22,2,if _>=9 and _<50:||data_to_prepend["glucose"]=80,patientI,180,N/A,0,0,150,0,0,0,,0.0, 9.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,2,if _>=21 and _<62:||data_to_prepend["glucose"]+=32,patientI,120,N/A,0,0,150,0,0,0,,0.0, 21.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
22,3,if _>=9 and _<95:||data_to_prepend["glucose"]=80,patientI,180,N/A,0,0,150,0,0,0,,0.0, 9.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
12,10,if _>=6 and _<20:||loaded_suggested_data["rate"]+=1,patientI,200,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,13,0,137,0,0,13,,0.08666666666666667, 6.0,5.0,N/A,-1.0,N/A,N/A,0.9133333333333333,0.47735191637630664,0.9547038327526133,150,0,0,0,0,0,1,N/A
13,18,if _>=25 and _<118:||loaded_suggested_data["rate"]-=1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientI,120,N/A,0,0,150,0,0,0,,0.0, 25.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
13,15,if _>=11 and _<106:||loaded_suggested_data["rate"]-=1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientI,160,N/A,0,0,150,0,0,0,,0.0, 11.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
14,4,if _>=11 and _<27:||glucose_refresh=0,patientI,160,N/A,0,0,150,0,0,0,,0.0, 11.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
13,4,if _>=12 and _<13:||loaded_suggested_data["rate"]-=0.5||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientI,180,N/A,0,0,150,0,0,0,,0.0, 12.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
12,3,if _>=29 and _<108:||loaded_suggested_data["rate"]+=0.5,patientI,120,N/A,0,0,150,0,0,0,,0.0, 29.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
18,3,if _>=10 and _<93:||data_to_prepend["glucose"]-=32||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,200,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,14,0,136,0,0,14,,0.09333333333333334, 10.0,5.0,N/A,-5.0,N/A,N/A,0.9066666666666666,0.47552447552447547,0.9510489510489509,150,0,0,0,0,0,1,N/A
13,3,if _>=10 and _<83:||loaded_suggested_data["rate"]-=0.5||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientI,160,N/A,0,0,150,0,0,0,,0.0, 10.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
18,13,if _>=11 and _<44:||data_to_prepend["glucose"]-=64||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,100,N/A,0,0,150,0,0,0,,0.0, 11.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
12,13,if _>=74 and _<79:||loaded_suggested_data["rate"]+=1,patientI,100,N/A,0,0,150,0,0,0,,0.0, 74.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
18,8,if _>=24 and _<67:||data_to_prepend["glucose"]-=32||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,100,N/A,0,0,150,0,0,0,,0.0, 24.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
12,12,if _>=6 and _<120:||loaded_suggested_data["rate"]+=1,patientI,80,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,93,82,46,11,71,22,0.8658536585365854,0.3235294117647059, 6.0,57.0,46.0,51.0,-11.0,40.0,0.78,0.7737142857142857,0.7772342857142857,150,74.80205842180605,0.8414634146341463,0,0,1,0,H1
19,1,if _>=29 and _<47:||loaded_suggested_data["rate"]=2,patientI,180,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,29,16,121,0,16,13,1.0,0.09701492537313433, 29.0,58.0,61.0,29.0,3.0,32.0,0.9133333333333333,0.8300653594771242,0.9236427015250545,150,68.55872474794502,1.0,0,0,1,0,H1
18,16,if _>=23 and _<31:||data_to_prepend["glucose"]-=64||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,80,N/A,0,0,150,0,0,0,,0.0, 23.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
13,11,if _>=9 and _<69:||loaded_suggested_data["rate"]-=1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientI,80,N/A,0,0,150,0,0,0,,0.0, 9.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
18,15,if _>=11 and _<90:||data_to_prepend["glucose"]-=64||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,140,N/A,0,0,150,0,0,0,,0.0, 11.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
20,4,if _>=11 and _<47:||loaded_suggested_data["rate"]=0,patientI,100,N/A,0,0,150,0,0,0,,0.0, 11.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
18,10,if _>=9 and _<32:||data_to_prepend["glucose"]-=64||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,100,N/A,0,0,150,0,0,0,,0.0, 9.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
18,2,if _>=10 and _<69:||data_to_prepend["glucose"]-=32||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,80,N/A,0,0,150,0,0,0,,0.0, 10.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,2,if _>=21 and _<62:||data_to_prepend["glucose"]+=32,patientI,200,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,13,8,129,8,0,13,0.0,0.09154929577464789, 21.0,5.0,68.0,-16.0,63.0,47.0,0.8599999999999999,0.46236559139784944,0.8754121863799283,150,74.55613749255019,0,0,0,1,0,H1
13,2,if _>=10 and _<72:||loaded_suggested_data["rate"]-=0.5||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientI,160,N/A,0,0,150,0,0,0,,0.0, 10.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
12,16,if _>=91 and _<99:||loaded_suggested_data["rate"]+=1,patientI,120,N/A,0,0,150,0,0,0,,0.0, 91.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
9,8,if _>=23 and _<62:||rate_refresh=0,patientI,160,N/A,0,0,150,0,0,0,,0.0, 23.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
20,7,if _>=27 and _<34:||loaded_suggested_data["rate"]=0,patientI,120,N/A,0,0,150,0,0,0,,0.0, 27.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
14,6,if _>=11 and _<108:||glucose_refresh=0,patientI,100,N/A,0,0,150,0,0,0,,0.0, 11.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
14,1,if _>=7 and _<27:||glucose_refresh=0,patientI,120,N/A,0,0,150,0,0,0,,0.0, 7.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
20,5,if _>=11 and _<53:||loaded_suggested_data["rate"]=0,patientI,100,N/A,0,0,150,0,0,0,,0.0, 11.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
12,9,if _>=86 and _<117:||loaded_suggested_data["rate"]+=0.5,patientI,200,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,13,0,137,0,0,13,,0.08666666666666667, 86.0,5.0,N/A,-81.0,N/A,N/A,0.9133333333333333,0.47735191637630664,0.9547038327526133,150,0,0,0,0,0,1,N/A
13,16,if _>=25 and _<45:||loaded_suggested_data["rate"]-=1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientI,140,N/A,0,0,150,0,0,0,,0.0, 25.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
18,9,if _>=24 and _<117:||data_to_prepend["glucose"]-=32||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,200,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,13,0,137,0,0,13,,0.08666666666666667, 24.0,5.0,N/A,-19.0,N/A,N/A,0.9133333333333333,0.47735191637630664,0.9547038327526133,150,0,0,0,0,0,1,N/A
18,10,if _>=9 and _<32:||data_to_prepend["glucose"]-=64||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientI,180,N/A,0,0,150,0,0,0,,0.0, 9.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
21,4,if _>=70 and _<86:||data_to_prepend["glucose"]=175,patientI,160,N/A,0,7,143,7,0,0,0.0,0.0, 70.0,N/A,106.0,N/A,N/A,36.0,0.9533333333333334,0.4880546075085324,0.9305574516496017,150,74.54852148670577,0,0,1,0,0,H1
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientI,140,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,63,38,87,0,38,25,1.0,0.22321428571428573, 24.0,62.0,62.0,38.0,0.0,38.0,0.8333333333333334,0.8134235534106173,0.8434913843143107,150,71.11053376917566,0.9473684210526315,0,0,1,0,H1
20,6,if _>=11 and _<95:||loaded_suggested_data["rate"]=0,patientI,80,N/A,0,0,150,0,0,0,,0.0, 11.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
13,17,if _>=25 and _<74:||loaded_suggested_data["rate"]-=1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientI,100,N/A,0,0,150,0,0,0,,0.0, 25.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
