Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,140,row_6||row_6||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,23,36,106,21,15,8,0.4166666666666667,0.07017543859649122, 31.0,34.0,47.0,3.0,13.0,16.0,0.8066666666666665,0.6940713130318588,0.7905816161474084,150,67.79597491534858,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,200,row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,25,37,108,17,20,5,0.5405405405405406,0.04424778761061947, 31.0,37.0,42.0,6.0,5.0,11.0,0.8533333333333335,0.7763621577663323,0.8428372639378332,150,64.31204443271677,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,160,row_3||row_6||row_6||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,25,36,105,20,16,9,0.4444444444444444,0.07894736842105263, 31.0,33.0,46.0,2.0,13.0,15.0,0.8066666666666665,0.7016256259002676,0.7936840661225051,150,66.35247349602304,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,80,row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,16,33,111,23,10,6,0.30303030303030304,0.05128205128205128, 31.0,45.0,52.0,14.0,7.0,21.0,0.8066666666666665,0.6463127083502724,0.7796763964549963,150,68.91070665861784,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,120,row_6||row_6||row_6||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,23,35,106,21,14,9,0.4,0.0782608695652174, 31.0,36.0,48.0,5.0,12.0,17.0,0.8000000000000002,0.6793958392704474,0.7842690225135366,150,68.30491452064625,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,100,row_6||row_6||row_6||row_6||row_6||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,23,34,105,22,12,11,0.35294117647058826,0.09482758620689655, 31.0,37.0,50.0,6.0,13.0,19.0,0.78,0.6426250812215725,0.7637513536928742,150,68.71689834574998,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,180,row_3||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,25,36,107,18,18,7,0.5,0.06140350877192982, 31.0,35.0,44.0,4.0,9.0,13.0,0.8333333333333334,0.7427807119829892,0.8221414363125042,150,65.0134653223664,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,80,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,180,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,120,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,100,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,200,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,160,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,140,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,140,row_6||row_6||row_6||row_3||row_9||row_9||row_9||row_9||row_9||row_9,10,19,122,18,1,9,0.05263157894736842,0.06870229007633588, 31.0,34.0,61.0,3.0,27.0,30.0,0.82,0.4846672604657081,0.7950578954065403,150,70.25491242408575,0.9473684210526315,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,180,row_6||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_6,11,21,121,18,3,8,0.14285714285714285,0.06201550387596899, 31.0,36.0,59.0,5.0,23.0,28.0,0.8266666666666667,0.5452425373134329,0.8028171641791045,150,71.58471524605477,0.8571428571428571,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,80,row_6||row_3||row_6||row_6||row_6,5,16,129,16,0,5,0.0,0.03731343283582089, 31.0,48.0,67.0,17.0,19.0,36.0,0.8599999999999999,0.4623655913978495,0.8260931899641577,150,69.86865011387687,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,120,row_6||row_6||row_6||row_6||row_9||row_9||row_9||row_9,8,18,124,18,0,8,0.0,0.06060606060606061, 31.0,38.0,63.0,7.0,25.0,32.0,0.8266666666666667,0.4525547445255474,0.7964963503649635,150,70.23155041783241,0.9444444444444444,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,160,row_6||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9,9,20,123,18,2,7,0.1,0.05384615384615385, 31.0,35.0,60.0,4.0,25.0,29.0,0.8333333333333334,0.5228400559867667,0.8051066717563728,150,70.71399224299344,0.95,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,200,row_6||row_3||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_6,15,22,119,16,6,9,0.2727272727272727,0.0703125, 31.0,34.0,56.0,3.0,22.0,25.0,0.8333333333333334,0.614633645051896,0.8197855650327133,150,71.2431590492224,0.9090909090909091,0,0,1,0,H1
