Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,140,row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,27,36,102,21,15,12,0.4166666666666667,0.10526315789473684, 31.0,35.0,47.0,4.0,12.0,16.0,0.78,0.6684749849306811,0.7684629294755877,150,67.79597491534858,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,200,row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,30,37,103,17,20,10,0.5405405405405406,0.08849557522123894, 31.0,34.0,42.0,3.0,8.0,11.0,0.82,0.7405675485234771,0.8133008775863173,150,64.31204443271677,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,160,row_7||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,28,36,102,20,16,12,0.4444444444444444,0.10526315789473684, 31.0,33.0,46.0,2.0,13.0,15.0,0.7866666666666666,0.6822033898305084,0.7769491525423728,150,66.35247349602304,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,80,row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,23,33,104,23,10,13,0.30303030303030304,0.1111111111111111, 31.0,39.0,52.0,8.0,13.0,21.0,0.76,0.6048009367681498,0.7434894613583137,150,68.91070665861784,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,120,row_7||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,29,35,100,21,14,15,0.4,0.13043478260869565, 31.0,31.0,48.0,0.0,17.0,17.0,0.76,0.6424788135593221,0.7518008474576271,150,68.30491452064625,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,100,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,34,34,94,22,12,22,0.35294117647058826,0.1896551724137931, 31.0,32.0,50.0,1.0,18.0,19.0,0.7066666666666667,0.5816430020283976,0.7066666666666667,150,68.71689834574998,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,180,row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,28,36,104,18,18,10,0.5,0.08771929824561403, 31.0,34.0,44.0,3.0,10.0,13.0,0.8133333333333334,0.721927966101695,0.8048305084745763,150,65.0134653223664,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,80,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,180,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,120,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,100,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,200,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,160,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,140,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,140,row_12||row_12||row_12||row_7||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,19,19,113,18,1,18,0.05263157894736842,0.13740458015267176, 31.0,34.0,61.0,3.0,27.0,30.0,0.76,0.4576134993973483,0.76,150,70.25491242408575,0.9473684210526315,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,180,row_16||row_16||row_16||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,23,21,109,18,3,20,0.14285714285714285,0.15503875968992248, 31.0,31.0,59.0,0.0,28.0,28.0,0.7466666666666667,0.4939630681818182,0.7514346590909091,150,71.58471524605477,0.8571428571428571,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,80,row_12||row_7||row_12||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9,13,16,121,16,0,13,0.0,0.09701492537313433, 31.0,48.0,67.0,17.0,19.0,36.0,0.8066666666666665,0.44649446494464945,0.7977367773677737,150,69.86865011387687,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,120,row_12||row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,17,18,115,18,0,17,0.0,0.12878787878787878, 31.0,38.0,63.0,7.0,25.0,32.0,0.7666666666666667,0.43396226415094336,0.7637735849056604,150,70.23155041783241,0.9444444444444444,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,160,row_16||row_16||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,21,20,111,18,2,19,0.1,0.14615384615384616, 31.0,31.0,60.0,0.0,29.0,29.0,0.7533333333333333,0.4773519163763066,0.7558652729384436,150,70.71399224299344,0.95,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,200,row_16||row_16||row_16||row_12||row_7||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,25,22,109,16,6,19,0.2727272727272727,0.1484375, 31.0,31.0,56.0,0.0,25.0,25.0,0.7666666666666667,0.5584896139937768,0.7727300759678188,150,71.2431590492224,0.9090909090909091,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientH,100,row_7||row_12||row_7||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9,15,17,118,17,0,15,0.0,0.11278195488721804, 31.0,41.0,66.0,10.0,25.0,35.0,0.7866666666666666,0.4402985074626866,0.7807960199004976,150,70.3437884026599,0.9411764705882353,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientE,200,row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,22,25,106,22,3,19,0.12,0.152, 31.0,31.0,59.0,0.0,28.0,28.0,0.7266666666666666,0.4828021192498528,0.7195638157710312,150,68.60514602335793,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientE,160,row_12||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,16,25,111,23,2,14,0.08,0.112, 31.0,38.0,60.0,7.0,22.0,29.0,0.7533333333333333,0.47735191637630664,0.7305458768873404,150,69.77343088695318,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientE,100,row_7||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,23,27,101,26,1,22,0.037037037037037035,0.17886178861788618, 31.0,31.0,61.0,0.0,30.0,30.0,0.68,0.42400000000000004,0.66976,150,71.3047854138168,0.9259259259259259,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientE,180,row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,23,25,104,23,2,21,0.08,0.168, 31.0,31.0,60.0,0.0,29.0,29.0,0.7066666666666667,0.45436507936507936,0.7017195767195766,150,68.78086144693876,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientE,120,row_12||row_12||row_12||row_7||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,20,26,105,25,1,19,0.038461538461538464,0.1532258064516129, 31.0,37.0,61.0,6.0,24.0,30.0,0.7066666666666667,0.4351249572064361,0.6910007988131919,150,70.0206176175607,0.9615384615384616,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientE,140,row_12||row_12||row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,20,25,106,24,1,19,0.04,0.152, 31.0,36.0,61.0,5.0,25.0,30.0,0.7133333333333335,0.4379084967320261,0.7002178649237472,150,69.13061398882304,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientE,80,row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,17,28,107,26,2,15,0.07142857142857142,0.12295081967213115, 31.0,45.0,60.0,14.0,15.0,29.0,0.7266666666666666,0.4640522875816993,0.6991546840958606,150,71.85303740553586,0.8928571428571429,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,100,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,31,27,103,16,11,20,0.4074074074074074,0.16260162601626016, 31.0,31.0,51.0,0.0,20.0,20.0,0.76,0.6152750071245369,0.7662923909945852,150,70.10631501498565,0.9629629629629629,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,80,row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,29,29,105,16,13,16,0.4482758620689655,0.1322314049586777, 31.0,33.0,49.0,2.0,16.0,18.0,0.7866666666666666,0.6580222285551439,0.7866666666666666,150,71.23462577049253,0.9310344827586207,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,140,row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,26,26,108,16,10,16,0.38461538461538464,0.12903225806451613, 31.0,36.0,52.0,5.0,16.0,21.0,0.7866666666666666,0.6277915632754343,0.7866666666666666,150,67.93256813315557,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,120,row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,26,27,108,16,11,15,0.4074074074074074,0.12195121951219512, 31.0,36.0,51.0,5.0,15.0,20.0,0.7933333333333333,0.6447941333740738,0.7918020013749906,150,69.47953076943041,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,180,row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,22,25,112,16,9,13,0.36,0.104, 31.0,40.0,53.0,9.0,13.0,22.0,0.8066666666666665,0.6341771087377008,0.8016426989599978,150,68.22706360225285,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,160,row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,22,26,111,17,9,13,0.34615384615384615,0.10483870967741936, 31.0,40.0,53.0,9.0,13.0,22.0,0.8000000000000002,0.6279761904761906,0.7932539682539683,150,68.78769861192298,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,200,row_12||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,23,25,111,16,9,14,0.36,0.112, 31.0,36.0,53.0,5.0,17.0,22.0,0.8000000000000002,0.6279761904761905,0.7966269841269842,150,68.05425917126604,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientJ,180,row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9,19,19,112,19,0,19,0.0,0.1450381679389313, 31.0,31.0,65.0,0.0,34.0,34.0,0.7466666666666667,0.42748091603053434,0.7466666666666667,150,69.34951708353579,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientJ,160,row_12||row_7||row_12||row_12||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9,14,19,117,19,0,14,0.0,0.10687022900763359, 31.0,44.0,66.0,13.0,22.0,35.0,0.78,0.4382022471910113,0.7653932584269665,150,69.44131989366583,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientJ,140,row_7||row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9,13,18,119,18,0,13,0.0,0.09848484848484848, 31.0,40.0,68.0,9.0,28.0,37.0,0.7933333333333333,0.4423791821561338,0.7785873605947955,150,70.13831512929445,0.9444444444444444,0,0,1,0,H1
