Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,120,N/A,0,0,150,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,200,N/A,0,0,150,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,140,N/A,0,0,150,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,160,N/A,0,0,150,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,80,N/A,0,0,150,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,100,N/A,0,0,150,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,180,N/A,0,0,150,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,33,if _>=89 and _<96:||data_to_prepend["glucose"]+=256,patientA,120,N/A,0,0,150,0,0,0,,0.0, 89.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,33,if _>=89 and _<96:||data_to_prepend["glucose"]+=256,patientA,200,N/A,0,0,150,0,0,0,,0.0, 89.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,33,if _>=89 and _<96:||data_to_prepend["glucose"]+=256,patientA,140,N/A,0,0,150,0,0,0,,0.0, 89.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,33,if _>=89 and _<96:||data_to_prepend["glucose"]+=256,patientA,160,N/A,0,0,150,0,0,0,,0.0, 89.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,33,if _>=89 and _<96:||data_to_prepend["glucose"]+=256,patientA,80,N/A,0,0,150,0,0,0,,0.0, 89.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
