Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,100,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,31,27,103,16,11,20,0.4074074074074074,0.16260162601626016, 31.0,31.0,51.0,0.0,20.0,20.0,0.76,0.6152750071245369,0.7662923909945852,150,70.10631501498565,0.9629629629629629,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,80,row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,29,29,105,16,13,16,0.4482758620689655,0.1322314049586777, 31.0,33.0,49.0,2.0,16.0,18.0,0.7866666666666666,0.6580222285551439,0.7866666666666666,150,71.23462577049253,0.9310344827586207,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,140,row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,26,26,108,16,10,16,0.38461538461538464,0.12903225806451613, 31.0,36.0,52.0,5.0,16.0,21.0,0.7866666666666666,0.6277915632754343,0.7866666666666666,150,67.93256813315557,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,120,row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,26,27,108,16,11,15,0.4074074074074074,0.12195121951219512, 31.0,36.0,51.0,5.0,15.0,20.0,0.7933333333333333,0.6447941333740738,0.7918020013749906,150,69.47953076943041,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,180,row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,22,25,112,16,9,13,0.36,0.104, 31.0,40.0,53.0,9.0,13.0,22.0,0.8066666666666665,0.6341771087377008,0.8016426989599978,150,68.22706360225285,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,160,row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,22,26,111,17,9,13,0.34615384615384615,0.10483870967741936, 31.0,40.0,53.0,9.0,13.0,22.0,0.8000000000000002,0.6279761904761906,0.7932539682539683,150,68.78769861192298,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientB,200,row_12||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,23,25,111,16,9,14,0.36,0.112, 31.0,36.0,53.0,5.0,17.0,22.0,0.8000000000000002,0.6279761904761905,0.7966269841269842,150,68.05425917126604,1.0,0,0,1,0,H1
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientB,100,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,25,21,104,21,0,25,0.0,0.1937984496124031, 98.0,32.0,113.0,-66.0,81.0,15.0,0.6933333333333334,0.4094488188976378,0.704251968503937,150,72.38516820397953,0.8571428571428571,0,0,1,0,H1
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientB,80,row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,12,21,117,21,0,12,0.0,0.09302325581395349, 98.0,101.0,113.0,3.0,12.0,15.0,0.78,0.4382022471910112,0.7537078651685393,150,72.368645846461,0.8571428571428571,0,0,1,0,H1
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientB,140,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,23,24,106,21,3,20,0.125,0.15873015873015872, 98.0,41.0,110.0,-57.0,69.0,12.0,0.7266666666666666,0.48280211924985283,0.724299049701455,150,73.97141230791999,0.7916666666666666,0,0,1,0,H1
