Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientC,180,row_16||row_16||row_16||row_16||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_12||row_12||row_12,25,18,108,17,1,24,0.05555555555555555,0.18181818181818182, 31.0,31.0,61.0,0.0,30.0,30.0,0.7266666666666666,0.4434892769885078,0.7451922902904714,150,71.59475669491898,0.8333333333333334,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientC,80,row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_12,13,14,123,14,0,13,0.0,0.09558823529411764, 31.0,50.0,68.0,19.0,18.0,37.0,0.82,0.45054945054945056,0.816996336996337,150,71.54888571418809,0.7857142857142857,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientC,200,row_16||row_16||row_16||row_16||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_12||row_12||row_12,27,19,107,16,3,24,0.15789473684210525,0.183206106870229, 31.0,31.0,59.0,0.0,28.0,28.0,0.7333333333333333,0.48647723382403285,0.752322264064818,150,72.21396267923029,0.7894736842105263,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientC,140,row_12||row_12||row_7||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_12||row_12||row_12,21,17,112,17,0,21,0.0,0.15789473684210525, 31.0,35.0,63.0,4.0,28.0,32.0,0.7466666666666667,0.42748091603053434,0.7580661577608142,150,70.28857830360428,0.9411764705882353,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientC,160,row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_12||row_12||row_12||row_12,22,17,111,17,0,22,0.0,0.16541353383458646, 31.0,35.0,62.0,4.0,27.0,31.0,0.74,0.42528735632183906,0.7541762452107279,150,70.44195384295905,0.9411764705882353,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientC,120,row_12||row_12||row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_12||row_12,21,17,112,17,0,21,0.0,0.15789473684210525, 31.0,35.0,63.0,4.0,28.0,32.0,0.7466666666666667,0.42748091603053434,0.7580661577608142,150,70.90450039198745,0.8823529411764706,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientC,100,row_7||row_7||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_12||row_12||row_12||row_12||row_12,19,15,116,15,0,19,0.0,0.14074074074074075, 31.0,40.0,66.0,9.0,26.0,35.0,0.7733333333333333,0.43609022556390975,0.7849624060150375,150,70.93209015653521,0.8666666666666667,0,0,1,0,H1
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientC,180,row_12||row_7,2,1,147,1,0,2,0.0,0.013422818791946308, 98.0,109.0,138.0,11.0,29.0,40.0,0.98,0.4949494949494949,0.9832996632996632,150,76.51686751121458,0,0,0,1,0,H1
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientC,80,row_7,1,2,147,2,0,1,0.0,0.006756756756756757, 98.0,108.0,137.0,10.0,29.0,39.0,0.98,0.4949494949494949,0.9767003367003366,150,75.87132902483788,0,0,0,1,0,H1
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientC,200,row_15||row_15||row_15||row_15||row_7,5,0,145,0,0,5,,0.03333333333333333, 98.0,46.0,N/A,-52.0,N/A,N/A,0.9666666666666667,0.4915254237288135,0.9830508474576272,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientC,140,row_7,1,0,149,0,0,1,,0.006666666666666667, 98.0,108.0,N/A,10.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientC,160,row_7||row_12,2,0,148,0,0,2,,0.013333333333333334, 98.0,107.0,N/A,9.0,N/A,N/A,0.9866666666666668,0.4966442953020134,0.993288590604027,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientC,120,row_12,1,0,149,0,0,1,,0.006666666666666667, 98.0,34.0,N/A,-64.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientC,100,N/A,0,0,150,0,0,0,,0.0, 98.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientC,180,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,9,0,141,0,0,9,,0.06, 71.0,96.0,N/A,25.0,N/A,N/A,0.94,0.4845360824742268,0.9690721649484537,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientC,80,row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,11,0,139,0,0,11,,0.07333333333333333, 71.0,90.0,N/A,19.0,N/A,N/A,0.9266666666666666,0.4809688581314879,0.9619377162629758,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientC,200,row_15||row_15||row_15||row_15||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15,13,0,137,0,0,13,,0.08666666666666667, 71.0,46.0,N/A,-25.0,N/A,N/A,0.9133333333333333,0.47735191637630664,0.9547038327526133,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientC,140,row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,12,0,138,0,0,12,,0.08, 71.0,88.0,N/A,17.0,N/A,N/A,0.92,0.4791666666666667,0.9583333333333334,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientC,160,row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15,10,0,140,0,0,10,,0.06666666666666667, 71.0,88.0,N/A,17.0,N/A,N/A,0.9333333333333333,0.4827586206896552,0.9655172413793105,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientC,120,row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,12,0,138,0,0,12,,0.08, 71.0,85.0,N/A,14.0,N/A,N/A,0.92,0.4791666666666667,0.9583333333333334,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientC,100,row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,12,0,138,0,0,12,,0.08, 71.0,84.0,N/A,13.0,N/A,N/A,0.92,0.4791666666666667,0.9583333333333334,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientC,180,row_12,1,0,149,0,0,1,,0.006666666666666667, 86.0,101.0,N/A,15.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientC,80,row_12||row_12,2,0,148,0,0,2,,0.013333333333333334, 86.0,102.0,N/A,16.0,N/A,N/A,0.9866666666666668,0.4966442953020134,0.993288590604027,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientC,200,row_15||row_15||row_15||row_15||row_15,5,0,145,0,0,5,,0.03333333333333333, 86.0,46.0,N/A,-40.0,N/A,N/A,0.9666666666666667,0.4915254237288135,0.9830508474576272,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientC,140,row_12,1,0,149,0,0,1,,0.006666666666666667, 86.0,104.0,N/A,18.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientC,160,row_12||row_12||row_12,3,0,147,0,0,3,,0.02, 86.0,98.0,N/A,12.0,N/A,N/A,0.98,0.494949494949495,0.98989898989899,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientC,120,row_12||row_12||row_12||row_12,4,0,146,0,0,4,,0.02666666666666667, 86.0,39.0,N/A,-47.0,N/A,N/A,0.9733333333333334,0.49324324324324326,0.9864864864864864,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientC,100,row_12,1,0,149,0,0,1,,0.006666666666666667, 86.0,104.0,N/A,18.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientC,180,row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_12||row_12||row_12,25,17,109,16,1,24,0.058823529411764705,0.18045112781954886, 24.0,24.0,55.0,0.0,31.0,31.0,0.7333333333333333,0.4462901439645626,0.7545957918050942,150,70.41722631022077,0.9411764705882353,0,0,1,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientC,80,row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_12||row_12||row_12,18,15,117,15,0,18,0.0,0.13333333333333333, 24.0,41.0,61.0,17.0,20.0,37.0,0.78,0.43820224719101125,0.7887640449438202,150,71.85561418554595,0.8,0,0,1,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientC,200,row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_12||row_12,22,18,113,15,3,19,0.16666666666666666,0.14393939393939395, 24.0,26.0,53.0,2.0,27.0,29.0,0.7733333333333333,0.5096153846153846,0.7829230769230769,150,70.11581002183435,0.9444444444444444,0,0,1,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientC,140,row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_12||row_12,16,16,118,16,0,16,0.0,0.11940298507462686, 24.0,33.0,57.0,9.0,24.0,33.0,0.7866666666666666,0.44029850746268656,0.7866666666666666,150,70.25425506606759,0.9375,0,0,1,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientC,160,row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_12||row_12||row_12||row_12,25,16,109,16,0,25,0.0,0.1865671641791045, 24.0,24.0,57.0,0.0,33.0,33.0,0.7266666666666666,0.42084942084942084,0.7519176319176318,150,70.60039280748296,0.9375,0,0,1,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientC,120,row_12||row_12||row_7||row_7||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_12||row_12,19,17,114,17,0,19,0.0,0.14285714285714285, 24.0,29.0,57.0,5.0,28.0,33.0,0.76,0.43181818181818177,0.7657575757575756,150,70.68351449387809,0.9411764705882353,0,0,1,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientC,100,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_12||row_12,14,16,120,16,0,14,0.0,0.1044776119402985, 24.0,44.0,59.0,20.0,15.0,35.0,0.8000000000000002,0.4444444444444445,0.794074074074074,150,70.96531679430218,0.875,0,0,1,0,H1
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientC,180,row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,62,32,88,0,32,30,1.0,0.2542372881355932, 24.0,24.0,55.0,0.0,31.0,31.0,0.8000000000000002,0.7676099979343111,0.8173517868209047,150,70.89285268378434,0.9375,0,0,1,0,H1
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientC,80,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,56,29,94,0,29,27,1.0,0.2231404958677686, 24.0,41.0,61.0,17.0,20.0,37.0,0.82,0.7783857729138167,0.8372859097127223,150,71.1040900776078,0.9310344827586207,0,0,1,0,H1
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientC,200,row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,61,27,89,0,27,34,1.0,0.2764227642276423, 24.0,26.0,53.0,2.0,27.0,29.0,0.7733333333333333,0.7266295025728988,0.7989451114922813,150,70.11739719446851,0.9629629629629629,0,0,1,0,H1
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientC,140,row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,55,29,95,0,29,26,1.0,0.21487603305785125, 24.0,33.0,57.0,9.0,24.0,33.0,0.8266666666666667,0.78505291005291,0.8430599647266314,150,69.947317931195,1.0,0,0,1,0,H1
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientC,160,row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,62,31,88,0,31,31,1.0,0.2605042016806723, 24.0,24.0,57.0,0.0,33.0,33.0,0.7933333333333333,0.7584541062801933,0.8123027375201288,150,70.60272457806418,0.967741935483871,0,0,1,0,H1
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientC,120,row_12||row_12||row_7||row_7||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,59,29,91,0,29,30,1.0,0.24793388429752067, 24.0,29.0,57.0,5.0,28.0,33.0,0.8000000000000002,0.7587907375643225,0.8199399656946826,150,70.68670782187657,0.9655172413793104,0,0,1,0,H1
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientC,100,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,53,29,97,0,29,24,1.0,0.19834710743801653, 24.0,44.0,59.0,20.0,15.0,35.0,0.8399999999999999,0.7986126650257328,0.8546072946968002,150,70.96531679430218,0.9310344827586207,0,0,1,0,H1
17,7,if _>=86 and _<91:||data_to_prepend["glucose"]+=32,patientC,180,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,7,if _>=86 and _<91:||data_to_prepend["glucose"]+=32,patientC,80,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,7,if _>=86 and _<91:||data_to_prepend["glucose"]+=32,patientC,200,row_15||row_15||row_15||row_15,4,0,146,0,0,4,,0.02666666666666667, 86.0,46.0,N/A,-40.0,N/A,N/A,0.9733333333333334,0.49324324324324326,0.9864864864864864,150,0,0,0,0,0,1,N/A
17,7,if _>=86 and _<91:||data_to_prepend["glucose"]+=32,patientC,140,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,7,if _>=86 and _<91:||data_to_prepend["glucose"]+=32,patientC,160,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,7,if _>=86 and _<91:||data_to_prepend["glucose"]+=32,patientC,120,row_12||row_12,2,0,148,0,0,2,,0.013333333333333334, 86.0,39.0,N/A,-47.0,N/A,N/A,0.9866666666666668,0.4966442953020134,0.993288590604027,150,0,0,0,0,0,1,N/A
17,7,if _>=86 and _<91:||data_to_prepend["glucose"]+=32,patientC,100,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
