Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
13,1,if _>=10 and _<30:||loaded_suggested_data["rate"]-=0.5||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientC,200,N/A,0,0,150,0,0,0,,0.0, 10.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
12,11,if _>=6 and _<68:||loaded_suggested_data["rate"]+=1,patientC,80,row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,33,37,102,15,22,11,0.5945945945945946,0.09734513274336283, 6.0,34.0,46.0,28.0,12.0,40.0,0.8266666666666667,0.7577639751552794,0.8232215320910972,150,74.10083627310762,0.7567567567567568,0,0,1,0,H1
12,2,if _>=29 and _<88:||loaded_suggested_data["rate"]+=0.5,patientC,200,N/A,0,0,150,0,0,0,,0.0, 29.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
14,3,if _>=7 and _<100:||glucose_refresh=0,patientC,200,row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,75,59,69,6,53,22,0.8983050847457628,0.24175824175824176, 7.0,25.0,47.0,18.0,22.0,40.0,0.8133333333333334,0.8111850386621111,0.8154816280045555,150,64.78862850817886,1.0,0,0,1,0,H1
19,2,if _>=29 and _<71:||loaded_suggested_data["rate"]=2,patientC,140,row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,37,32,94,19,13,24,0.40625,0.2033898305084746, 29.0,34.0,58.0,5.0,24.0,29.0,0.7133333333333335,0.5953322040278561,0.7206173536608318,150,65.61643825465973,1.0,0,0,1,0,H1
19,6,if _>=43 and _<115:||loaded_suggested_data["rate"]=2,patientC,140,row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_6||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,53,30,60,3,27,26,0.9,0.3023255813953488, 43.0,47.0,73.0,4.0,26.0,30.0,0.75,0.7279857685776663,0.7653432522034446,116,66.89984982346427,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientC,80,row_6||row_6||row_6||row_6||row_9,5,14,131,14,0,5,0.0,0.03676470588235294, 31.0,50.0,68.0,19.0,18.0,37.0,0.8733333333333333,0.4661921708185054,0.8453618030842232,150,71.54888571418809,0.7857142857142857,0,0,1,0,H1
21,7,if _>=89 and _<110:||data_to_prepend["glucose"]=175,patientC,120,row_3||row_6||row_3||row_3,4,13,133,13,0,4,0.0,0.029197080291970802, 89.0,99.0,122.0,10.0,23.0,33.0,0.8866666666666667,0.46996466431095407,0.8584687868080093,150,69.68978876986239,1.0,0,0,1,0,H1
21,6,if _>=70 and _<113:||data_to_prepend["glucose"]=175,patientC,200,row_6||row_3||row_6||row_3||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,20,28,112,18,10,10,0.35714285714285715,0.08196721311475409, 70.0,82.0,103.0,12.0,21.0,33.0,0.8133333333333334,0.6527777777777777,0.8007407407407408,150,69.31118040323528,1.0,0,0,1,0,H1
18,12,if _>=9 and _<107:||data_to_prepend["glucose"]-=64||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientC,80,row_7||row_7||row_7,3,0,116,0,0,3,,0.025210084033613446, 9.0,40.0,N/A,31.0,N/A,N/A,0.9747899159663865,0.49361702127659574,0.9872340425531915,119,0,0,0,0,0,1,N/A
