Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,140,N/A,0,36,114,36,0,0,0.0,0.0, 31.0,N/A,47.0,N/A,N/A,16.0,0.76,0.4318181818181818,0.6563636363636364,150,67.79597491534858,1.0,0,1,0,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,200,N/A,0,37,113,37,0,0,0.0,0.0, 31.0,N/A,42.0,N/A,N/A,11.0,0.7533333333333333,0.42965779467680604,0.6473510773130545,150,64.31204443271677,1.0,0,1,0,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,160,row_7,1,36,113,36,0,1,0.0,0.008771929824561403, 31.0,33.0,46.0,2.0,13.0,15.0,0.7533333333333333,0.42965779467680604,0.6530798479087452,150,66.35247349602304,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,80,N/A,0,33,117,33,0,0,0.0,0.0, 31.0,N/A,52.0,N/A,N/A,21.0,0.78,0.43820224719101125,0.6835955056179776,150,68.91070665861784,1.0,0,1,0,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,120,N/A,0,35,115,35,0,0,0.0,0.0, 31.0,N/A,48.0,N/A,N/A,17.0,0.7666666666666667,0.43396226415094347,0.6654088050314467,150,68.30491452064625,1.0,0,1,0,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,100,N/A,0,34,116,34,0,0,0.0,0.0, 31.0,N/A,50.0,N/A,N/A,19.0,0.7733333333333333,0.43609022556390975,0.6744862155388471,150,68.71689834574998,1.0,0,1,0,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientF,180,N/A,0,36,114,36,0,0,0.0,0.0, 31.0,N/A,44.0,N/A,N/A,13.0,0.76,0.4318181818181818,0.6563636363636364,150,65.0134653223664,1.0,0,1,0,0,H1
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientF,140,N/A,0,37,113,37,0,0,0.0,0.0, 98.0,N/A,49.0,N/A,N/A,invalid,0.7533333333333333,0.42965779467680604,0.6473510773130545,150,72.45677510825936,0.7297297297297297,0,1,0,0,H1
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientF,200,N/A,0,39,111,39,0,0,0.0,0.0, 98.0,N/A,43.0,N/A,N/A,invalid,0.74,0.42528735632183906,0.6294252873563217,150,63.86361212695733,1.0,0,1,0,0,H1
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientF,160,N/A,0,36,114,36,0,0,0.0,0.0, 98.0,N/A,47.0,N/A,N/A,invalid,0.76,0.4318181818181818,0.6563636363636364,150,70.09034755371718,0.9722222222222222,0,1,0,0,H1
