Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
12,7,if _>=86 and _<91:||loaded_suggested_data["rate"]+=0.5,patientF,180,row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13,43,22,102,5,17,26,0.7727272727272727,0.203125, 86.0,36.0,44.0,-50.0,8.0,-42.0,0.7933333333333333,0.6955810147299508,0.8174839061647573,150,67.54257634169836,0.6818181818181818,0,0,1,0,H1
18,6,if _>=12 and _<91:||data_to_prepend["glucose"]-=32||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0,patientF,120,row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13,12,8,130,8,0,12,0.0,0.08450704225352113, 12.0,99.0,130.0,87.0,31.0,118.0,0.8666666666666667,0.4642857142857143,0.8790476190476191,150,74.15684681216254,0,0,0,1,0,H1
13,2,if _>=10 and _<72:||loaded_suggested_data["rate"]-=0.5||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientF,180,row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13,29,19,109,12,7,22,0.3684210526315789,0.16793893129770993, 10.0,39.0,48.0,29.0,9.0,38.0,0.7733333333333333,0.5783730158730159,0.79244708994709,150,71.61476721848523,0,0,0,1,0,H1
21,9,if _>=89 and _<120:||data_to_prepend["glucose"]=175,patientF,120,row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13,42,23,76,6,17,25,0.7391304347826086,0.24752475247524752, 89.0,39.0,53.0,-50.0,14.0,-36.0,0.75,0.676839007986549,0.7735603194619587,124,74.7173373143867,0.7391304347826086,0,0,1,0,H1
13,15,if _>=11 and _<106:||loaded_suggested_data["rate"]-=1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientF,160,row_6||row_6||row_6||row_6||row_6||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13,14,0,136,0,0,14,,0.09333333333333334, 11.0,118.0,N/A,107.0,N/A,N/A,0.9066666666666666,0.47552447552447547,0.9510489510489509,150,0,0,0,0,0,1,N/A
12,17,if _>=91 and _<105:||loaded_suggested_data["rate"]+=1,patientF,140,row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_6||row_6||row_6||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13,54,31,88,8,23,31,0.7419354838709677,0.2605042016806723, 91.0,19.0,50.0,-72.0,31.0,-41.0,0.74,0.679890560875513,0.7612694938440493,150,72.86648859082295,0.7096774193548387,0,0,1,0,H1
13,3,if _>=10 and _<83:||loaded_suggested_data["rate"]-=0.5||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0,patientF,100,row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13,14,10,126,10,0,14,0.0,0.1, 10.0,116.0,130.0,106.0,14.0,120.0,0.8399999999999999,0.45652173913043476,0.8521739130434782,150,74.4948279143347,0,0,0,1,0,H1
17,1,if _>=21 and _<31:||data_to_prepend["glucose"]+=32,patientF,200,row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13,64,23,86,0,23,41,1.0,0.3228346456692913, 21.0,23.0,41.0,2.0,18.0,20.0,0.7266666666666666,0.668123684636555,0.7647660676703901,150,61.79161206810053,0.8695652173913043,0,0,1,0,H1
14,1,if _>=7 and _<27:||glucose_refresh=0,patientF,120,row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13,54,15,96,0,15,39,1.0,0.28888888888888886, 7.0,20.0,45.0,13.0,25.0,38.0,0.74,0.6329757199322417,0.7915302089215132,150,68.53582104748536,1.0,0,0,1,0,H1
12,10,if _>=6 and _<20:||loaded_suggested_data["rate"]+=1,patientF,100,row_6||row_6||row_6||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13||row_13,62,21,84,4,17,45,0.8095238095238095,0.3488372093023256, 6.0,15.0,40.0,9.0,25.0,34.0,0.6733333333333333,0.5919160513019821,0.7231558492032647,150,70.05822089068417,0.6190476190476191,0,0,1,0,H1
