Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,80,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,180,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,120,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,100,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,200,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,160,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientG,140,N/A,0,0,150,0,0,0,,0.0, 31.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientG,80,N/A,0,0,150,0,0,0,,0.0, 98.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientG,180,N/A,0,0,150,0,0,0,,0.0, 98.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientG,120,N/A,0,0,150,0,0,0,,0.0, 98.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientG,100,N/A,0,0,150,0,0,0,,0.0, 98.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientG,200,N/A,0,0,150,0,0,0,,0.0, 98.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientG,160,N/A,0,0,150,0,0,0,,0.0, 98.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientG,140,N/A,0,0,150,0,0,0,,0.0, 98.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientG,80,N/A,0,0,150,0,0,0,,0.0, 71.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientG,180,N/A,0,0,150,0,0,0,,0.0, 71.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientG,120,N/A,0,0,150,0,0,0,,0.0, 71.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientG,100,N/A,0,0,150,0,0,0,,0.0, 71.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientG,200,N/A,0,0,150,0,0,0,,0.0, 71.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientG,160,N/A,0,0,150,0,0,0,,0.0, 71.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientG,140,N/A,0,0,150,0,0,0,,0.0, 71.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientG,80,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientG,180,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientG,120,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientG,100,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientG,200,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientG,160,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientG,140,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientG,80,N/A,0,0,150,0,0,0,,0.0, 24.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientG,180,N/A,0,0,150,0,0,0,,0.0, 24.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientG,120,N/A,0,0,150,0,0,0,,0.0, 24.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientG,100,N/A,0,0,150,0,0,0,,0.0, 24.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientG,200,N/A,0,0,150,0,0,0,,0.0, 24.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientG,160,N/A,0,0,150,0,0,0,,0.0, 24.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientG,140,N/A,0,0,150,0,0,0,,0.0, 24.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientG,80,N/A,0,0,150,0,0,0,,0.0, 24.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientG,180,N/A,0,0,150,0,0,0,,0.0, 24.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientG,120,row_7,1,0,149,0,0,1,,0.006666666666666667, 24.0,63.0,N/A,39.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
