Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,140,row_12||row_7,2,0,148,0,0,2,,0.013333333333333334, 138.0,148.0,N/A,10.0,N/A,N/A,0.9866666666666668,0.4966442953020134,0.993288590604027,150,0,0,0,0,0,1,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,180,row_12,1,0,149,0,0,1,,0.006666666666666667, 138.0,149.0,N/A,11.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,80,row_7,1,0,149,0,0,1,,0.006666666666666667, 138.0,148.0,N/A,10.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,120,row_7,1,0,149,0,0,1,,0.006666666666666667, 138.0,148.0,N/A,10.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,160,row_12||row_12,2,0,148,0,0,2,,0.013333333333333334, 138.0,148.0,N/A,10.0,N/A,N/A,0.9866666666666668,0.4966442953020134,0.993288590604027,150,0,0,0,0,0,1,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,200,row_12,1,0,149,0,0,1,,0.006666666666666667, 138.0,149.0,N/A,11.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,100,row_7,1,0,149,0,0,1,,0.006666666666666667, 138.0,148.0,N/A,10.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,33,if _>=89 and _<96:||data_to_prepend["glucose"]+=256,patientH,140,N/A,0,0,150,0,0,0,,0.0, 89.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,33,if _>=89 and _<96:||data_to_prepend["glucose"]+=256,patientH,180,N/A,0,0,150,0,0,0,,0.0, 89.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,33,if _>=89 and _<96:||data_to_prepend["glucose"]+=256,patientH,80,N/A,0,0,150,0,0,0,,0.0, 89.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,33,if _>=89 and _<96:||data_to_prepend["glucose"]+=256,patientH,120,N/A,0,0,150,0,0,0,,0.0, 89.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,33,if _>=89 and _<96:||data_to_prepend["glucose"]+=256,patientH,160,N/A,0,0,150,0,0,0,,0.0, 89.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
