Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientI,100,row_12||row_12||row_12||row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,17,14,119,14,0,17,0.0,0.125, 31.0,40.0,70.0,9.0,30.0,39.0,0.7933333333333333,0.4423791821561338,0.802180916976456,150,72.92067449694858,0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientI,80,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,15,12,123,12,0,15,0.0,0.10869565217391304, 31.0,47.0,71.0,16.0,24.0,40.0,0.82,0.45054945054945056,0.829010989010989,150,73.532700066236,0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientI,140,row_12||row_12||row_7||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,16,16,118,16,0,16,0.0,0.11940298507462686, 31.0,39.0,67.0,8.0,28.0,36.0,0.7866666666666666,0.44029850746268656,0.7866666666666666,150,72.14885717294155,0.75,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientI,180,row_16||row_16||row_16||row_16||row_16||row_12||row_7||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9,18,16,116,16,0,18,0.0,0.13432835820895522, 31.0,31.0,66.0,0.0,35.0,35.0,0.7733333333333333,0.43609022556390975,0.7791478696741855,150,71.20011415315737,0.875,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientI,120,row_12||row_12||row_12||row_7||row_12||row_12||row_7||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,19,15,116,15,0,19,0.0,0.14074074074074075, 31.0,33.0,69.0,2.0,36.0,38.0,0.7733333333333333,0.43609022556390975,0.7849624060150375,150,72.2650038169528,0.6666666666666666,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientI,160,row_7||row_12||row_7||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9,16,16,118,16,0,16,0.0,0.11940298507462686, 31.0,40.0,67.0,9.0,27.0,36.0,0.7866666666666666,0.44029850746268656,0.7866666666666666,150,71.21675772422927,0.875,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientI,200,row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9,20,18,112,18,0,20,0.0,0.15151515151515152, 31.0,31.0,64.0,0.0,33.0,33.0,0.7466666666666667,0.42748091603053434,0.7523664122137405,150,71.7927755157294,0.8333333333333334,0,0,1,0,H1
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientI,100,row_12||row_12,2,0,148,0,0,2,,0.013333333333333334, 98.0,110.0,N/A,12.0,N/A,N/A,0.9866666666666668,0.4966442953020134,0.993288590604027,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientI,80,row_12||row_7,2,0,148,0,0,2,,0.013333333333333334, 98.0,110.0,N/A,12.0,N/A,N/A,0.9866666666666668,0.4966442953020134,0.993288590604027,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientI,140,N/A,0,0,150,0,0,0,,0.0, 98.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientI,180,row_15,1,0,149,0,0,1,,0.006666666666666667, 98.0,61.0,N/A,-37.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientI,120,row_12||row_12||row_12,3,0,147,0,0,3,,0.02, 98.0,36.0,N/A,-62.0,N/A,N/A,0.98,0.494949494949495,0.98989898989899,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientI,160,row_7,1,0,149,0,0,1,,0.006666666666666667, 98.0,111.0,N/A,13.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientI,200,row_15||row_15||row_15||row_15,4,0,146,0,0,4,,0.02666666666666667, 98.0,57.0,N/A,-41.0,N/A,N/A,0.9733333333333334,0.49324324324324326,0.9864864864864864,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientI,100,row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,14,0,136,0,0,14,,0.09333333333333334, 71.0,91.0,N/A,20.0,N/A,N/A,0.9066666666666666,0.47552447552447547,0.9510489510489509,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientI,80,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,11,0,139,0,0,11,,0.07333333333333333, 71.0,94.0,N/A,23.0,N/A,N/A,0.9266666666666666,0.4809688581314879,0.9619377162629758,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientI,140,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,12,0,138,0,0,12,,0.08, 71.0,93.0,N/A,22.0,N/A,N/A,0.92,0.4791666666666667,0.9583333333333334,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientI,180,row_15,1,0,149,0,0,1,,0.006666666666666667, 71.0,61.0,N/A,-10.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientI,120,row_12||row_12||row_12||row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,20,0,130,0,0,20,,0.13333333333333333, 71.0,42.0,N/A,-29.0,N/A,N/A,0.8666666666666667,0.4642857142857143,0.9285714285714285,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientI,160,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,11,0,139,0,0,11,,0.07333333333333333, 71.0,94.0,N/A,23.0,N/A,N/A,0.9266666666666666,0.4809688581314879,0.9619377162629758,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientI,200,row_15||row_15||row_15||row_15,4,0,146,0,0,4,,0.02666666666666667, 71.0,57.0,N/A,-14.0,N/A,N/A,0.9733333333333334,0.49324324324324326,0.9864864864864864,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientI,100,row_15,1,0,149,0,0,1,,0.006666666666666667, 86.0,119.0,N/A,33.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientI,80,N/A,0,0,150,0,0,0,,0.0, 86.0,N/A,N/A,N/A,N/A,N/A,1.0,1.0,1.0,150,0,0,1,0,0,0,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientI,140,row_12||row_15||row_15,3,0,147,0,0,3,,0.02, 86.0,105.0,N/A,19.0,N/A,N/A,0.98,0.494949494949495,0.98989898989899,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientI,180,row_15||row_15,2,0,148,0,0,2,,0.013333333333333334, 86.0,106.0,N/A,20.0,N/A,N/A,0.9866666666666668,0.4966442953020134,0.993288590604027,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientI,120,row_12,1,0,149,0,0,1,,0.006666666666666667, 86.0,41.0,N/A,-45.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientI,160,row_15||row_15||row_15,3,0,147,0,0,3,,0.02, 86.0,105.0,N/A,19.0,N/A,N/A,0.98,0.494949494949495,0.98989898989899,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientI,200,row_15||row_15||row_15||row_15,4,0,146,0,0,4,,0.02666666666666667, 86.0,59.0,N/A,-27.0,N/A,N/A,0.9733333333333334,0.49324324324324326,0.9864864864864864,150,0,0,0,0,0,1,N/A
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientI,100,row_7||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,14,13,123,13,0,14,0.0,0.10218978102189781, 24.0,34.0,64.0,10.0,30.0,40.0,0.82,0.45054945054945056,0.823003663003663,150,72.74624683905577,0,0,0,1,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientI,80,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,15,15,120,15,0,15,0.0,0.1111111111111111, 24.0,41.0,62.0,17.0,21.0,38.0,0.8000000000000002,0.4444444444444444,0.8,150,73.26230833129885,0,0,0,1,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientI,140,row_12||row_7||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,12,16,122,16,0,12,0.0,0.08955223880597014, 24.0,42.0,62.0,18.0,20.0,38.0,0.8133333333333334,0.4485294117647059,0.8013725490196079,150,71.13525281637277,0.875,0,0,1,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientI,180,row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,25,16,109,16,0,25,0.0,0.1865671641791045, 24.0,25.0,61.0,1.0,36.0,37.0,0.7266666666666666,0.42084942084942084,0.7519176319176318,150,71.16408736053339,0.875,0,0,1,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientI,120,row_7||row_7||row_7||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,13,15,122,15,0,13,0.0,0.0962962962962963, 24.0,30.0,63.0,6.0,33.0,39.0,0.8133333333333334,0.4485294117647059,0.8073529411764706,150,72.0544074346406,0.7333333333333333,0,0,1,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientI,160,row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,11,16,123,16,0,11,0.0,0.08208955223880597, 24.0,42.0,61.0,18.0,19.0,37.0,0.82,0.45054945054945056,0.804981684981685,150,71.03238899453541,0.875,0,0,1,0,H1
17,10,if _>=24 and _<56:||data_to_prepend["glucose"]+=64,patientI,200,row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,19,16,115,16,0,19,0.0,0.1417910447761194, 24.0,28.0,61.0,4.0,33.0,37.0,0.7666666666666667,0.43396226415094347,0.7753459119496856,150,71.33440894134833,0.8125,0,0,1,0,H1
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientI,100,row_12||row_7||row_7||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,58,41,84,8,33,25,0.8048780487804879,0.22935779816513763, 24.0,35.0,64.0,11.0,29.0,40.0,0.78,0.7512437810945274,0.7895854063018243,150,72.38199849994082,0.8780487804878049,0,0,1,0,H1
17,12,if _>=24 and _<97:||data_to_prepend["glucose"]+=64,patientI,80,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9||row_9,56,44,85,9,35,21,0.7954545454545454,0.19811320754716982, 24.0,41.0,62.0,17.0,21.0,38.0,0.8000000000000002,0.775,0.806,150,73.15855889292902,0.8409090909090909,0,0,1,0,H1
