Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientJ,180,row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9,19,19,112,19,0,19,0.0,0.1450381679389313, 31.0,31.0,65.0,0.0,34.0,34.0,0.7466666666666667,0.42748091603053434,0.7466666666666667,150,69.34951708353579,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientJ,160,row_12||row_7||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9,14,19,117,19,0,14,0.0,0.10687022900763359, 31.0,44.0,66.0,13.0,22.0,35.0,0.78,0.4382022471910113,0.7653932584269665,150,69.44131989366583,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientJ,140,row_7||row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,13,18,119,18,0,13,0.0,0.09848484848484848, 31.0,40.0,68.0,9.0,28.0,37.0,0.7933333333333333,0.4423791821561338,0.7785873605947955,150,70.13831512929445,0.9444444444444444,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientJ,100,row_7||row_12||row_7||row_7||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,14,16,120,16,0,14,0.0,0.1044776119402985, 31.0,42.0,72.0,11.0,30.0,41.0,0.8000000000000002,0.4444444444444445,0.794074074074074,150,71.88223867346099,0.8125,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientJ,200,row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_16||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_9||row_9||row_9||row_9||row_12,21,19,110,19,0,21,0.0,0.16030534351145037, 31.0,31.0,64.0,0.0,33.0,33.0,0.7333333333333333,0.4230769230769231,0.7389743589743589,150,69.79310051501152,1.0,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientJ,120,row_12||row_12||row_12||row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,14,18,118,18,0,14,0.0,0.10606060606060606, 31.0,41.0,69.0,10.0,28.0,38.0,0.7866666666666666,0.44029850746268656,0.7749253731343284,150,70.82396803428281,0.9444444444444444,0,0,1,0,H1
17,14,if _>=31 and _<62:||data_to_prepend["glucose"]+=64,patientJ,80,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,11,14,125,14,0,11,0.0,0.08088235294117647, 31.0,51.0,74.0,20.0,23.0,43.0,0.8333333333333334,0.4545454545454545,0.8242424242424241,150,72.26922375161044,0.5714285714285714,0,0,1,0,H1
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientJ,180,row_15||row_15||row_15||row_15||row_15,5,0,145,0,0,5,,0.03333333333333333, 98.0,59.0,N/A,-39.0,N/A,N/A,0.9666666666666667,0.4915254237288135,0.9830508474576272,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientJ,160,row_15||row_15,2,0,148,0,0,2,,0.013333333333333334, 98.0,133.0,N/A,35.0,N/A,N/A,0.9866666666666668,0.4966442953020134,0.993288590604027,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientJ,140,row_15||row_15,2,0,148,0,0,2,,0.013333333333333334, 98.0,133.0,N/A,35.0,N/A,N/A,0.9866666666666668,0.4966442953020134,0.993288590604027,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientJ,100,row_15,1,0,149,0,0,1,,0.006666666666666667, 98.0,134.0,N/A,36.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientJ,200,row_15||row_15||row_15||row_15||row_15,5,0,145,0,0,5,,0.03333333333333333, 98.0,59.0,N/A,-39.0,N/A,N/A,0.9666666666666667,0.4915254237288135,0.9830508474576272,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientJ,120,row_12||row_12||row_15||row_15,4,0,146,0,0,4,,0.02666666666666667, 98.0,42.0,N/A,-56.0,N/A,N/A,0.9733333333333334,0.49324324324324326,0.9864864864864864,150,0,0,0,0,0,1,N/A
17,18,if _>=98 and _<113:||data_to_prepend["glucose"]+=64,patientJ,80,row_15,1,0,149,0,0,1,,0.006666666666666667, 98.0,134.0,N/A,36.0,N/A,N/A,0.9933333333333333,0.4983277591973244,0.9966555183946489,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientJ,180,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,10,0,140,0,0,10,,0.06666666666666667, 71.0,59.0,N/A,-12.0,N/A,N/A,0.9333333333333333,0.4827586206896552,0.9655172413793105,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientJ,160,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,8,0,142,0,0,8,,0.05333333333333334, 71.0,62.0,N/A,-9.0,N/A,N/A,0.9466666666666667,0.48630136986301364,0.9726027397260272,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientJ,140,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,10,0,140,0,0,10,,0.06666666666666667, 71.0,95.0,N/A,24.0,N/A,N/A,0.9333333333333333,0.4827586206896552,0.9655172413793105,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientJ,100,row_12||row_15||row_15||row_15||row_15||row_15||row_15,7,0,143,0,0,7,,0.04666666666666667, 71.0,95.0,N/A,24.0,N/A,N/A,0.9533333333333334,0.4880546075085324,0.9761092150170647,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientJ,200,row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15||row_15,9,0,141,0,0,9,,0.06, 71.0,57.0,N/A,-14.0,N/A,N/A,0.94,0.4845360824742268,0.9690721649484537,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientJ,120,row_12||row_12||row_15||row_15||row_15||row_15||row_15||row_15,8,0,142,0,0,8,,0.05333333333333334, 71.0,40.0,N/A,-31.0,N/A,N/A,0.9466666666666667,0.48630136986301364,0.9726027397260272,150,0,0,0,0,0,1,N/A
17,6,if _>=71 and _<105:||data_to_prepend["glucose"]+=32,patientJ,80,row_12||row_15||row_15||row_15||row_15||row_15,6,0,144,0,0,6,,0.04, 71.0,94.0,N/A,23.0,N/A,N/A,0.96,0.4897959183673469,0.9795918367346937,150,0,0,0,0,0,1,N/A
17,8,if _>=86 and _<108:||data_to_prepend["glucose"]+=32,patientJ,180,row_15||row_15||row_15||row_15||row_15||row_15,6,0,144,0,0,6,,0.04, 86.0,58.0,N/A,-28.0,N/A,N/A,0.96,0.4897959183673469,0.9795918367346937,150,0,0,0,0,0,1,N/A
