Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T2,T3,Reaction time(T3-t2),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
0,0,N/A,patientH,140,row_32||row_27||row_32||row_27||row_32||row_32||row_27,7,0,293,0,0,7,,0.023333333333333334,45.0,N/A,N/A,0.98, 0.49,0.99,300,0,0,0, 0,0,1,N/A
0,0,N/A,patientH,180,row_4||row_4||row_4||row_4||row_5||row_27||row_32||row_27||row_32||row_32||row_32,11,0,289,0,0,11,,0.03666666666666667,7.0,N/A,N/A,0.96, 0.49,0.98,300,0,0,0, 0,0,1,N/A
0,0,N/A,patientH,80,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,1.00, 1.00,1.00,300,0,0,1, 0,0,0,N/A
0,0,N/A,patientH,120,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,1.00, 1.00,1.00,300,0,0,1, 0,0,0,N/A
0,0,N/A,patientH,160,row_32||row_32||row_27||row_32||row_32||row_27,6,0,294,0,0,6,,0.02,44.0,N/A,N/A,0.98, 0.49,0.99,300,0,0,0, 0,0,1,N/A
0,0,N/A,patientH,200,row_4||row_4||row_5||row_5||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32,12,0,288,0,0,12,,0.04,13.0,N/A,N/A,0.96, 0.49,0.98,300,0,0,0, 0,0,1,N/A
0,0,N/A,patientH,100,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,1.00, 1.00,1.00,300,0,0,1, 0,0,0,N/A
0,0,N/A,patientJ,180,row_4||row_4||row_4||row_4||row_4||row_5||row_4||row_4||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_32||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_32,78,0,222,0,0,78,,0.26,7.0,N/A,N/A,0.74, 0.43,0.85,300,0,0,0, 0,0,1,N/A
0,0,N/A,patientJ,160,row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_32||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32,51,0,249,0,0,51,,0.17,54.0,N/A,N/A,0.83, 0.45,0.91,300,0,0,0, 0,0,1,N/A
0,0,N/A,patientJ,140,row_32||row_32||row_27||row_27||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_32||row_32||row_27||row_32||row_27||row_32||row_27||row_27||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_32,53,0,247,0,0,53,,0.17666666666666667,54.0,N/A,N/A,0.82, 0.45,0.90,300,0,0,0, 0,0,1,N/A
0,0,N/A,patientJ,100,row_32||row_27||row_27||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_27||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32,49,0,251,0,0,49,,0.16333333333333333,56.0,N/A,N/A,0.84, 0.46,0.91,300,0,0,0, 0,0,1,N/A
0,0,N/A,patientJ,200,row_4||row_4||row_4||row_5||row_5||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_32||row_27||row_32||row_32||row_27||row_27||row_32||row_32||row_27||row_32||row_32||row_32||row_27||row_32||row_27||row_32||row_32||row_32||row_27||row_32||row_27||row_27||row_32||row_27||row_32||row_27||row_32,52,0,248,0,0,52,,0.17333333333333334,13.0,N/A,N/A,0.83, 0.45,0.91,300,0,0,0, 0,0,1,N/A
0,0,N/A,patientJ,120,row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_27||row_32||row_27||row_32||row_32||row_27||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_27||row_27||row_32||row_32||row_32,68,0,232,0,0,68,,0.22666666666666666,55.0,N/A,N/A,0.77, 0.44,0.87,300,0,0,0, 0,0,1,N/A
0,0,N/A,patientJ,80,row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_32||row_27||row_32||row_27||row_32||row_32,49,0,251,0,0,49,,0.16333333333333333,98.0,N/A,N/A,0.84, 0.46,0.91,300,0,0,0, 0,0,1,N/A
0,0,N/A,patientA,120,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,1.00, 1.00,1.00,300,0,0,1, 0,0,0,N/A
0,0,N/A,patientA,200,row_4||row_4||row_4||row_4||row_4||row_4||row_5||row_5||row_5||row_5||row_5||row_5,12,0,288,0,0,12,,0.04,13.0,N/A,N/A,0.96, 0.49,0.98,300,0,0,0, 0,0,1,N/A
0,0,N/A,patientA,140,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,1.00, 1.00,1.00,300,0,0,1, 0,0,0,N/A
