Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,140,row_32,1,0,199,0,0,1,,0.005, 138.0,153.0,N/A,15.0,N/A,N/A,0.99,0.50,1.00,200,0,0,0,0,0,1,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,180,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,80,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,120,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,160,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,200,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientH,100,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientJ,180,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientJ,160,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientJ,140,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientJ,100,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientJ,200,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientJ,120,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientJ,80,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,120,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,200,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,140,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,160,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,80,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,100,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,14,if _>=138 and _<154:||data_to_prepend["glucose"]+=64,patientA,180,N/A,0,0,200,0,0,0,,0.0, 138.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,23,if _>=178 and _<193:||data_to_prepend["glucose"]+=128,patientH,140,N/A,0,0,200,0,0,0,,0.0, 178.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,23,if _>=178 and _<193:||data_to_prepend["glucose"]+=128,patientH,180,N/A,0,0,200,0,0,0,,0.0, 178.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,23,if _>=178 and _<193:||data_to_prepend["glucose"]+=128,patientH,80,N/A,0,0,200,0,0,0,,0.0, 178.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,23,if _>=178 and _<193:||data_to_prepend["glucose"]+=128,patientH,120,N/A,0,0,200,0,0,0,,0.0, 178.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,23,if _>=178 and _<193:||data_to_prepend["glucose"]+=128,patientH,160,N/A,0,0,200,0,0,0,,0.0, 178.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,23,if _>=178 and _<193:||data_to_prepend["glucose"]+=128,patientH,200,N/A,0,0,200,0,0,0,,0.0, 178.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,23,if _>=178 and _<193:||data_to_prepend["glucose"]+=128,patientH,100,N/A,0,0,200,0,0,0,,0.0, 178.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,23,if _>=178 and _<193:||data_to_prepend["glucose"]+=128,patientJ,180,N/A,0,0,200,0,0,0,,0.0, 178.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
17,23,if _>=178 and _<193:||data_to_prepend["glucose"]+=128,patientJ,160,N/A,0,0,200,0,0,0,,0.0, 178.0,N/A,N/A,N/A,N/A,N/A,1.00,1.00,1.00,200,0,0,1,0,0,0,N/A
