LBGT,HBGT,TN,FN,TP,FP,TPR,FPR,Fault num, alert_num, Hazard num, mttf , lantecy , reaction_time,                 avg_TN,avg_TP,avg_FP,avg_FN, f1_micro_avg, f1_macro_avg , f1_weighted_avg,                 TN,TP,FP,FN, F1_micro, F1_macro , F1_weighted,                 mttf_std, lantecy_std,rectime_std
90,180,3066,0,613,353,1,0.103,4032,966,613,317.09,163.41,185.78,187.26,3.59,5.41,3.52,0.96,0.89,0.96,                 3066 (76.0%),613 (15.2%),353 (8.8%),0 (0.0%),0.91,0.86,0.92,110.66,106.79,64.45
90,176,3059,0,613,360,1,0.105,4032,973,613,317.09,161.64,187.34,187.16,3.59,5.51,3.52,0.95,0.89,0.96,                 3059 (75.9%),613 (15.2%),360 (8.9%),0 (0.0%),0.91,0.86,0.92,110.66,103.9,65.51
90,178,3059,0,613,360,1,0.105,4032,973,613,317.09,162.71,186.53,187.21,3.59,5.46,3.52,0.95,0.89,0.96,                 3059 (75.9%),613 (15.2%),360 (8.9%),0 (0.0%),0.91,0.86,0.92,110.66,105.02,64.95
90,174,3058,0,613,361,1,0.106,4032,974,613,317.09,160.49,188.13,187.11,3.59,5.56,3.52,0.95,0.89,0.96,                 3058 (75.8%),613 (15.2%),361 (9.0%),0 (0.0%),0.91,0.86,0.92,110.66,102.61,66.04
90,172,3053,0,613,366,1,0.107,4032,979,613,317.09,159.7,189.08,187.06,3.59,5.61,3.52,0.95,0.89,0.96,                 3053 (75.7%),613 (15.2%),366 (9.1%),0 (0.0%),0.91,0.86,0.92,110.66,101.55,66.93
90,170,3049,0,613,370,1,0.108,4032,983,613,317.09,157.75,190.55,187,3.59,5.67,3.52,0.95,0.89,0.96,                 3049 (75.6%),613 (15.2%),370 (9.2%),0 (0.0%),0.91,0.86,0.92,110.66,100.05,69.14
91,180,3049,0,613,370,1,0.108,4032,983,613,317.09,161.5,188.25,187.18,3.59,5.49,3.52,0.95,0.89,0.96,                 3049 (75.6%),613 (15.2%),370 (9.2%),0 (0.0%),0.91,0.86,0.92,110.66,108.18,65.36
91,176,3042,0,613,377,1,0.11,4032,990,613,317.09,159.78,189.8,187.08,3.59,5.59,3.52,0.95,0.89,0.96,                 3042 (75.4%),613 (15.2%),377 (9.4%),0 (0.0%),0.91,0.85,0.91,110.66,105.34,66.35
91,178,3042,0,613,377,1,0.11,4032,990,613,317.09,160.82,188.99,187.13,3.59,5.54,3.52,0.95,0.89,0.96,                 3042 (75.4%),613 (15.2%),377 (9.4%),0 (0.0%),0.91,0.85,0.91,110.66,106.45,65.82
90,168,3039,0,613,380,1,0.111,4032,993,613,317.09,157.24,191.26,186.96,3.59,5.72,3.52,0.95,0.88,0.96,                 3039 (75.4%),613 (15.2%),380 (9.4%),0 (0.0%),0.91,0.85,0.91,110.66,98.68,69.69
91,174,3041,0,613,378,1,0.111,4032,991,613,317.09,158.64,190.6,187.03,3.59,5.64,3.52,0.95,0.88,0.96,                 3041 (75.4%),613 (15.2%),378 (9.4%),0 (0.0%),0.91,0.85,0.91,110.66,104.07,66.85
92,180,3041,0,613,378,1,0.111,4032,991,613,317.09,158.92,191.08,187.1,3.59,5.57,3.52,0.95,0.89,0.96,                 3041 (75.4%),613 (15.2%),378 (9.4%),0 (0.0%),0.91,0.85,0.91,110.66,108.93,65.93
90,166,3035,0,613,384,1,0.112,4032,997,613,317.09,156.57,191.92,186.92,3.59,5.76,3.52,0.95,0.88,0.96,                 3035 (75.3%),613 (15.2%),384 (9.5%),0 (0.0%),0.9,0.85,0.91,110.66,97.68,70.23
91,172,3036,0,613,383,1,0.112,4032,996,613,317.09,157.88,191.54,186.98,3.59,5.69,3.52,0.95,0.88,0.96,                 3036 (75.3%),613 (15.2%),383 (9.5%),0 (0.0%),0.91,0.85,0.91,110.66,103.02,67.69
93,180,3036,0,613,383,1,0.112,4032,996,613,317.09,156.65,193.25,187.02,3.59,5.65,3.52,0.95,0.88,0.96,                 3036 (75.3%),613 (15.2%),383 (9.5%),0 (0.0%),0.91,0.85,0.91,110.66,109.59,66.39
91,170,3032,0,613,387,1,0.113,4032,1000,613,317.09,155.97,193.02,186.92,3.59,5.76,3.52,0.95,0.88,0.96,                 3032 (75.2%),613 (15.2%),387 (9.6%),0 (0.0%),0.9,0.85,0.91,110.66,101.53,69.82
92,174,3033,0,613,386,1,0.113,4032,999,613,317.09,156.11,193.43,186.95,3.59,5.73,3.52,0.95,0.88,0.96,                 3033 (75.2%),613 (15.2%),386 (9.6%),0 (0.0%),0.9,0.85,0.91,110.66,104.81,67.3
92,176,3034,0,613,385,1,0.113,4032,998,613,317.09,157.23,192.63,187,3.59,5.68,3.52,0.95,0.88,0.96,                 3034 (75.2%),613 (15.2%),385 (9.5%),0 (0.0%),0.9,0.85,0.91,110.66,106.09,66.84
92,178,3034,0,613,385,1,0.113,4032,998,613,317.09,158.27,191.82,187.05,3.59,5.63,3.52,0.95,0.88,0.96,                 3034 (75.2%),613 (15.2%),385 (9.5%),0 (0.0%),0.9,0.85,0.91,110.66,107.2,66.35
90,164,3030,0,613,389,1,0.114,4032,1002,613,317.09,156.17,192.57,186.88,3.59,5.8,3.52,0.95,0.88,0.96,                 3030 (75.1%),613 (15.2%),389 (9.6%),0 (0.0%),0.9,0.85,0.91,110.66,97.02,70.73
92,172,3028,0,613,391,1,0.114,4032,1004,613,317.09,155.36,194.37,186.9,3.59,5.78,3.52,0.95,0.88,0.96,                 3028 (75.1%),613 (15.2%),391 (9.7%),0 (0.0%),0.9,0.85,0.91,110.66,103.75,68.1
93,174,3028,0,613,391,1,0.114,4032,1004,613,317.09,153.86,195.6,186.87,3.59,5.8,3.52,0.95,0.88,0.96,                 3028 (75.1%),613 (15.2%),391 (9.7%),0 (0.0%),0.9,0.85,0.91,110.66,105.45,67.68
93,176,3029,0,613,390,1,0.114,4032,1003,613,317.09,154.98,194.81,186.92,3.59,5.75,3.52,0.95,0.88,0.96,                 3029 (75.1%),613 (15.2%),390 (9.7%),0 (0.0%),0.9,0.85,0.91,110.66,106.74,67.25
93,178,3029,0,613,390,1,0.114,4032,1003,613,317.09,156.01,194,186.97,3.59,5.7,3.52,0.95,0.88,0.96,                 3029 (75.1%),613 (15.2%),390 (9.7%),0 (0.0%),0.9,0.85,0.91,110.66,107.86,66.79
90,162,3027,0,613,392,1,0.115,4032,1005,613,317.09,155.88,193.28,186.84,3.59,5.83,3.52,0.95,0.88,0.96,                 3027 (75.1%),613 (15.2%),392 (9.7%),0 (0.0%),0.9,0.85,0.91,110.66,96.63,71.29
91,168,3022,0,613,397,1,0.116,4032,1010,613,317.09,155.49,193.73,186.87,3.59,5.8,3.52,0.95,0.88,0.96,                 3022 (75.0%),613 (15.2%),397 (9.8%),0 (0.0%),0.9,0.85,0.91,110.66,100.18,70.34
92,170,3024,0,613,395,1,0.116,4032,1008,613,317.09,153.48,195.85,186.84,3.59,5.84,3.52,0.95,0.88,0.96,                 3024 (75.0%),613 (15.2%),395 (9.8%),0 (0.0%),0.9,0.85,0.91,110.66,102.24,70.16
93,172,3023,0,613,396,1,0.116,4032,1009,613,317.09,153.14,196.55,186.82,3.59,5.85,3.52,0.95,0.88,0.96,                 3023 (75.0%),613 (15.2%),396 (9.8%),0 (0.0%),0.9,0.85,0.91,110.66,104.38,68.44
90,160,3019,0,613,400,1,0.117,4032,1013,613,317.09,156.14,194.02,186.8,3.59,5.88,3.52,0.95,0.88,0.96,                 3019 (74.9%),613 (15.2%),400 (9.9%),0 (0.0%),0.9,0.85,0.91,110.66,96.58,72.05
91,166,3018,0,613,401,1,0.117,4032,1014,613,317.09,154.84,194.38,186.83,3.59,5.84,3.52,0.95,0.88,0.96,                 3018 (74.9%),613 (15.2%),401 (9.9%),0 (0.0%),0.9,0.85,0.91,110.66,99.19,70.86
93,170,3019,0,613,400,1,0.117,4032,1013,613,317.09,151.27,198.03,186.76,3.59,5.91,3.52,0.95,0.88,0.96,                 3019 (74.9%),613 (15.2%),400 (9.9%),0 (0.0%),0.9,0.85,0.91,110.66,102.85,70.45
94,180,3020,0,613,399,1,0.117,4032,1012,613,317.09,152.5,195.55,186.94,3.59,5.74,3.52,0.95,0.88,0.96,                 3020 (74.9%),613 (15.2%),399 (9.9%),0 (0.0%),0.9,0.85,0.91,110.66,109.57,66.74
92,168,3014,0,613,405,1,0.118,4032,1018,613,317.09,153.02,196.56,186.79,3.59,5.88,3.52,0.95,0.88,0.96,                 3014 (74.8%),613 (15.2%),405 (10.0%),0 (0.0%),0.9,0.84,0.91,110.66,100.89,70.65
90,158,3011,0,613,408,1,0.119,4032,1021,613,317.09,154.95,195.24,186.75,3.59,5.92,3.52,0.95,0.88,0.96,                 3011 (74.7%),613 (15.2%),408 (10.1%),0 (0.0%),0.9,0.84,0.91,110.66,95.49,74.35
91,164,3013,0,613,406,1,0.119,4032,1019,613,317.09,154.45,195.03,186.8,3.59,5.88,3.52,0.95,0.88,0.96,                 3013 (74.7%),613 (15.2%),406 (10.1%),0 (0.0%),0.9,0.84,0.91,110.66,98.55,71.33
94,174,3012,0,613,407,1,0.119,4032,1020,613,317.09,149.79,197.9,186.79,3.59,5.89,3.52,0.95,0.88,0.96,                 3012 (74.7%),613 (15.2%),407 (10.1%),0 (0.0%),0.9,0.84,0.91,110.66,105.39,67.95
94,176,3013,0,613,406,1,0.119,4032,1019,613,317.09,150.89,197.1,186.84,3.59,5.84,3.52,0.95,0.88,0.96,                 3013 (74.7%),613 (15.2%),406 (10.1%),0 (0.0%),0.9,0.84,0.91,110.66,106.7,67.54
94,178,3013,0,613,406,1,0.119,4032,1019,613,317.09,151.9,196.29,186.89,3.59,5.79,3.52,0.95,0.88,0.96,                 3013 (74.7%),613 (15.2%),406 (10.1%),0 (0.0%),0.9,0.84,0.91,110.66,107.84,67.11
90,156,3008,0,613,411,1,0.12,4032,1024,613,317.09,154.26,196.04,186.71,3.59,5.97,3.52,0.95,0.88,0.96,                 3008 (74.6%),613 (15.2%),411 (10.2%),0 (0.0%),0.9,0.84,0.91,110.66,95,75.15
91,162,3010,0,613,409,1,0.12,4032,1022,613,317.09,154.16,195.74,186.76,3.59,5.92,3.52,0.95,0.88,0.96,                 3010 (74.7%),613 (15.2%),409 (10.1%),0 (0.0%),0.9,0.84,0.91,110.66,98.15,71.86
92,166,3010,0,613,409,1,0.12,4032,1022,613,317.09,152.39,197.21,186.75,3.59,5.92,3.52,0.95,0.88,0.96,                 3010 (74.7%),613 (15.2%),409 (10.1%),0 (0.0%),0.9,0.84,0.91,110.66,99.89,71.14
93,168,3009,0,613,410,1,0.12,4032,1023,613,317.09,150.84,198.74,186.71,3.59,5.96,3.52,0.95,0.88,0.96,                 3009 (74.6%),613 (15.2%),410 (10.2%),0 (0.0%),0.9,0.84,0.91,110.66,101.49,70.91
92,164,3005,0,613,414,1,0.121,4032,1027,613,317.09,152.02,197.86,186.71,3.59,5.96,3.52,0.95,0.88,0.96,                 3005 (74.5%),613 (15.2%),414 (10.3%),0 (0.0%),0.9,0.84,0.91,110.66,99.25,71.58
