LBGT,HBGT,TN,FN,TP,FP,TPR,FPR,Fault num, alert_num, Hazard num, mttf , lantecy , reaction_time,                 avg_TN,avg_TP,avg_FP,avg_FN, f1_micro_avg, f1_macro_avg , f1_weighted_avg,                 TN,TP,FP,FN, F1_micro, F1_macro , F1_weighted,                 mttf_std, lantecy_std,rectime_std
90,175,3049,0,613,370,1,0.108,4032,983,613,317.09,146.41,195.99,186.92,3.59,5.75,3.52,0,0.89,0.96,                 3049 (75.6%),613 (15.2%),370 (9.2%),0 (0.0%),0,0.86,0.92,110.66,111.61,83
90,170,3037,0,613,382,1,0.112,4032,995,613,317.09,147.36,197.85,186.76,3.59,5.91,3.52,0,0.88,0.96,                 3037 (75.3%),613 (15.2%),382 (9.5%),0 (0.0%),0,0.85,0.91,110.66,97.13,84.33
90,165,3001,0,613,418,1,0.122,4032,1031,613,317.09,148.59,199.43,186.59,3.59,6.08,3.52,0,0.88,0.96,                 3001 (74.4%),613 (15.2%),418 (10.4%),0 (0.0%),0,0.84,0.91,110.66,97.52,85.27
90,160,2971,0,613,448,1,0.131,4032,1061,613,317.09,150.47,199.86,186.41,3.59,6.27,3.52,0,0.88,0.95,                 2971 (73.7%),613 (15.2%),448 (11.1%),0 (0.0%),0,0.83,0.9,110.66,94.98,85.74
95,175,2964,0,613,455,1,0.133,4032,1068,613,317.09,132.67,209.67,186.47,3.59,6.21,3.52,0,0.87,0.95,                 2964 (73.5%),613 (15.2%),455 (11.3%),0 (0.0%),0,0.83,0.9,110.66,111.79,83.38
95,170,2952,0,613,467,1,0.137,4032,1080,613,317.09,133.7,211.53,186.3,3.59,6.37,3.52,0,0.87,0.95,                 2952 (73.2%),613 (15.2%),467 (11.6%),0 (0.0%),0,0.83,0.9,110.66,98.68,84.4
90,155,2940,0,613,479,1,0.14,4032,1092,613,317.09,144.18,205.38,186.23,3.59,6.44,3.52,0,0.87,0.95,                 2940 (72.9%),613 (15.2%),479 (11.9%),0 (0.0%),0,0.82,0.89,110.66,92.51,94.32
90,180,2940,0,613,479,1,0.14,4032,1092,613,317.09,64.66,208.75,187.03,3.59,5.64,3.52,0,0.87,0.96,                 2940 (72.9%),613 (15.2%),479 (11.9%),0 (0.0%),0,0.82,0.89,110.66,263.37,118.93
95,165,2916,0,613,503,1,0.147,4032,1116,613,317.09,135.28,213.11,186.14,3.59,6.54,3.52,0,0.87,0.95,                 2916 (72.3%),613 (15.2%),503 (12.5%),0 (0.0%),0,0.81,0.89,110.66,99.17,85.09
95,160,2886,0,613,533,1,0.156,4032,1146,613,317.09,137.36,213.54,185.95,3.59,6.72,3.52,0,0.86,0.95,                 2886 (71.6%),613 (15.2%),533 (13.2%),0 (0.0%),0,0.81,0.88,110.66,97.07,85.48
90,150,2876,0,613,543,1,0.159,4032,1156,613,317.09,131.28,207.67,186.02,3.59,6.65,3.52,0,0.86,0.95,                 2876 (71.3%),613 (15.2%),543 (13.5%),0 (0.0%),0,0.8,0.88,110.66,121.69,97.89
95,180,2857,0,613,562,1,0.164,4032,1175,613,317.09,58.46,221.94,186.57,3.59,6.1,3.52,0,0.86,0.96,                 2857 (70.9%),613 (15.2%),562 (13.9%),0 (0.0%),0,0.8,0.88,110.66,252.97,117.86
95,155,2855,0,613,564,1,0.165,4032,1177,613,317.09,131.88,219.05,185.78,3.59,6.9,3.52,0,0.86,0.95,                 2855 (70.8%),613 (15.2%),564 (14.0%),0 (0.0%),0,0.8,0.88,110.66,94.03,93.29
95,150,2793,0,613,626,1,0.183,4032,1239,613,317.09,120.13,221.31,185.56,3.59,7.11,3.52,0,0.85,0.95,                 2793 (69.3%),613 (15.2%),626 (15.5%),0 (0.0%),0,0.78,0.86,110.66,119.28,96.58
100,175,2747,0,613,672,1,0.197,4032,1285,613,317.09,95.92,234.35,185.22,3.59,7.46,3.52,0,0.84,0.95,                 2747 (68.1%),613 (15.2%),672 (16.7%),0 (0.0%),0,0.77,0.85,110.66,115.86,85.68
100,170,2734,0,613,685,1,0.2,4032,1298,613,317.09,97.05,236.21,185.06,3.59,7.62,3.52,0,0.84,0.95,                 2734 (67.8%),613 (15.2%),685 (17.0%),0 (0.0%),0,0.77,0.85,110.66,105.79,86.14
105,175,2710,0,613,709,1,0.207,4032,1322,613,317.09,91.13,241.54,184.93,3.59,7.74,3.52,0,0.84,0.95,                 2710 (67.2%),613 (15.2%),709 (17.6%),0 (0.0%),0,0.76,0.85,110.66,117,84.64
100,165,2698,0,613,721,1,0.211,4032,1334,613,317.09,99.36,237.79,184.89,3.59,7.79,3.52,0,0.84,0.95,                 2698 (66.9%),613 (15.2%),721 (17.9%),0 (0.0%),0,0.76,0.84,110.66,106.6,86.37
105,170,2697,0,613,722,1,0.211,4032,1335,613,317.09,92.27,243.4,184.77,3.59,7.9,3.52,0,0.84,0.95,                 2697 (66.9%),613 (15.2%),722 (17.9%),0 (0.0%),0,0.76,0.84,110.66,107.36,84.95
