LBGT,HBGT,TN,FN,TP,FP,TPR,FPR,Fault num, alert_num, Hazard num, mttf , lantecy , reaction_time,                 avg_TN,avg_TP,avg_FP,avg_FN, f1_micro_avg, f1_macro_avg , f1_weighted_avg,                 TN,TP,FP,FN, F1_micro, F1_macro , F1_weighted,                 mttf_std, lantecy_std,rectime_std
80,180,2449,7,606,970,0.989,0.284,4032,1578,613,317.09,-24.58,212.91,185.82,3.81,6.85,3.3,0,0.81,0.95,                 2449 (60.7%),606 (15.0%),970 (24.1%),7 (0.2%),0,0.69,0.79,110.66,363.44,162.22
85,180,2367,2,611,1052,0.997,0.308,4032,1663,613,317.09,-21.39,223.27,185.21,3.81,7.47,3.3,0,0.8,0.95,                 2367 (58.7%),611 (15.2%),1052 (26.1%),2 (0.0%),0,0.68,0.78,110.66,353.15,157.36
80,175,2029,7,606,1390,0.989,0.407,4032,1998,613,317.09,-173.86,270.62,184.8,3.81,7.87,3.3,0,0.76,0.95,                 2029 (50.3%),606 (15.0%),1390 (34.5%),7 (0.2%),0,0.6,0.7,110.66,391.28,211.65
80,170,2007,7,606,1412,0.989,0.413,4032,2020,613,317.09,-171.09,272.29,184.33,3.81,8.35,3.3,0,0.76,0.95,                 2007 (49.8%),606 (15.0%),1412 (35.0%),7 (0.2%),0,0.6,0.7,110.66,389.57,211.54
80,165,1962,7,606,1457,0.989,0.426,4032,2065,613,317.09,-164.05,273.96,183.84,3.81,8.84,3.3,0,0.75,0.95,                 1962 (48.7%),606 (15.0%),1457 (36.1%),7 (0.2%),0,0.59,0.69,110.66,387.93,211.46
85,175,1961,2,611,1458,0.997,0.426,4032,2069,613,317.09,-166.68,278.88,184.18,3.81,8.49,3.3,0,0.75,0.95,                 1961 (48.6%),611 (15.2%),1458 (36.2%),2 (0.0%),0,0.59,0.69,110.66,385.6,205.75
85,170,1940,2,611,1479,0.997,0.433,4032,2090,613,317.09,-164.37,280.54,183.71,3.81,8.96,3.3,0,0.75,0.95,                 1940 (48.1%),611 (15.2%),1479 (36.7%),2 (0.0%),0,0.59,0.68,110.66,383.79,205.57
90,180,1923,0,613,1496,1,0.438,4032,2109,613,317.09,-86.72,259.02,183.66,3.81,9.02,3.3,0,0.74,0.95,                 1923 (47.7%),613 (15.2%),1496 (37.1%),0 (0.0%),0,0.59,0.68,110.66,352.74,172.33
80,160,1909,7,606,1510,0.989,0.442,4032,2118,613,317.09,-157.02,275.65,183.15,3.81,9.53,3.3,0,0.74,0.95,                 1909 (47.3%),606 (15.0%),1510 (37.5%),7 (0.2%),0,0.58,0.67,110.66,385.07,211.51
85,165,1895,2,611,1524,0.997,0.446,4032,2135,613,317.09,-157.71,282.21,183.22,3.81,9.45,3.3,0,0.74,0.95,                 1895 (47.0%),611 (15.2%),1524 (37.8%),2 (0.0%),0,0.58,0.67,110.66,382.19,205.43
85,160,1842,2,611,1577,0.997,0.461,4032,2188,613,317.09,-151.05,283.89,182.53,3.81,10.14,3.3,0,0.73,0.94,                 1842 (45.7%),611 (15.2%),1577 (39.1%),2 (0.0%),0,0.57,0.66,110.66,379.41,205.41
90,175,1749,0,613,1670,1,0.488,4032,2283,613,317.09,-165.44,293.94,182.63,3.81,10.04,3.3,0,0.72,0.95,                 1749 (43.4%),613 (15.2%),1670 (41.4%),0 (0.0%),0,0.55,0.64,110.66,378.99,202.67
90,170,1729,0,613,1690,1,0.494,4032,2303,613,317.09,-163.68,295.6,182.16,3.81,10.52,3.3,0,0.72,0.94,                 1729 (42.9%),613 (15.2%),1690 (41.9%),0 (0.0%),0,0.55,0.63,110.66,377.13,202.36
90,165,1691,0,613,1728,1,0.505,4032,2341,613,317.09,-159.68,297.26,181.67,3.81,11,3.3,0,0.71,0.94,                 1691 (41.9%),613 (15.2%),1728 (42.9%),0 (0.0%),0,0.54,0.62,110.66,374.42,202.09
90,160,1643,0,613,1776,1,0.519,4032,2389,613,317.09,-154.95,298.93,180.98,3.81,11.69,3.3,0,0.7,0.94,                 1643 (40.7%),613 (15.2%),1776 (44.0%),0 (0.0%),0,0.53,0.61,110.66,371.16,201.95
80,155,1511,6,606,1909,0.99,0.558,4032,2517,613,317.09,-258.55,333.54,181.47,3.81,11.2,3.3,0,0.69,0.94,                 1511 (37.5%),606 (15.0%),1909 (47.3%),6 (0.1%),0,0.5,0.58,110.66,378.91,239.71
80,150,1475,6,606,1945,0.99,0.569,4032,2553,613,317.09,-256.16,335.16,180.28,3.81,12.39,3.3,0,0.68,0.94,                 1475 (36.6%),606 (15.0%),1945 (48.2%),6 (0.1%),0,0.49,0.57,110.66,376.27,239.63
85,155,1454,2,611,1965,0.997,0.575,4032,2576,613,317.09,-251.63,340.09,180.85,3.81,11.82,3.3,0,0.68,0.94,                 1454 (36.1%),611 (15.2%),1965 (48.7%),2 (0.0%),0,0.49,0.56,110.66,376.76,233.44
85,150,1418,2,611,2001,0.997,0.585,4032,2612,613,317.09,-249.4,341.71,179.67,3.81,13.01,3.3,0,0.67,0.94,                 1418 (35.2%),611 (15.2%),2001 (49.6%),2 (0.0%),0,0.48,0.55,110.66,374.16,233.31
90,155,1386,0,613,2033,1,0.595,4032,2646,613,317.09,-242.39,347.1,179.3,3.81,13.37,3.3,0,0.67,0.94,                 1386 (34.4%),613 (15.2%),2033 (50.4%),0 (0.0%),0,0.48,0.55,110.66,376.97,228.08
90,150,1352,0,613,2067,1,0.605,4032,2680,613,317.09,-240.94,348.71,178.12,3.81,14.56,3.3,0,0.66,0.93,                 1352 (33.5%),613 (15.2%),2067 (51.3%),0 (0.0%),0,0.47,0.54,110.66,373.86,227.9
95,180,1285,0,613,2134,1,0.624,4032,2747,613,317.09,-146.06,308.52,180.4,3.81,12.27,3.3,0,0.66,0.94,                 1285 (31.9%),613 (15.2%),2134 (52.9%),0 (0.0%),0,0.46,0.52,110.66,351.61,192.3
95,175,1125,0,613,2294,1,0.671,4032,2907,613,317.09,-202.42,340.9,179.38,3.81,13.3,3.3,0,0.64,0.94,                 1125 (27.9%),613 (15.2%),2294 (56.9%),0 (0.0%),0,0.42,0.47,110.66,362.88,210.59
95,170,1107,0,613,2312,1,0.676,4032,2925,613,317.09,-201.06,342.53,178.91,3.81,13.77,3.3,0,0.63,0.93,                 1107 (27.5%),613 (15.2%),2312 (57.3%),0 (0.0%),0,0.42,0.47,110.66,361.61,209.94
95,165,1070,0,613,2349,1,0.687,4032,2962,613,317.09,-197.33,344.17,178.42,3.81,14.26,3.3,0,0.63,0.93,                 1070 (26.5%),613 (15.2%),2349 (58.3%),0 (0.0%),0,0.41,0.46,110.66,360.36,209.32
80,145,1031,6,606,2389,0.99,0.699,4032,2997,613,317.09,-263.34,337.04,175.06,3.81,17.62,3.3,0,0.62,0.92,                 1031 (25.6%),606 (15.0%),2389 (59.3%),6 (0.1%),0,0.4,0.44,110.66,356.52,239.74
