,Baseline HardwareFI,HardwareFI_WOT, Hardware FI,Baseline Faultfree, Faultfree_WOT,Faultfree
Totalnum,4032,4032,4032,21,21,21
Alertnum,1551,3007,1076,3,13,0
Hazardnum,613,613,613,0,0,0
Hazard Coverage,15.20%,15.20%,15.20%,0.00%,0.00%,0.00%
avg_TN,179.16,177.73,186.38,297.48,278.14,300
avg_TP,7.11,3.81,3.59,0,0,0
avg_FP,13.52,14.95,6.3,2.52,21.86,0
avg_FN,0,3.3,3.52,0,0,0
f1_micro_avg,0.93,0.91,0.95,0.99,0.93,1
f1_macro_avg,0.83,0.62,0.87,0.93,0.67,1
f1_weighted_avg,0.95,0.93,0.95,1,0.96,1
,,,,,,
MTTF/mins,317.09,317.09,317.09,,,
MTTF_std/mins,110.66,110.66,110.66,,,
Latency(T2-T1)/min,-48.43,-193.38,142,,,
Latency_std/min,375.45,358.3,99.8,,,
Reaction_time/mins,205.07,345.82,207.23,-1,-1,-1
Reaction_time_std/mins,176.44,208.82,72.79,nan       ,nan       ,nan       
TN,2481 (61.5%),1025 (25.4%),2956 (73.3%),18 (85.7%),8 (38.1%),21 (100.0%)
TP,613 (15.2%),613 (15.2%),613 (15.2%),0 (0.0%),0 (0.0%),0 (0.0%)
FP,938 (23.3%),2394 (59.4%),463 (11.5%),3 (14.3%),13 (61.9%),0 (0.0%)
FN,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
F1_micro,0.77,0.41,0.89,0.86,0.38,1
F1_macro,0.7,0.4,0.83,0.46,0.28,1
F1_weighted,0.8,0.44,0.9,0.92,0.55,1
