,scenario,fault,prediction,fault_duration,hazard_duration,faulttime(T1),hazardtime(T3),hazardendtime(T4),faultendtiome(T5)
0,17,18,1,235.0,185.0,155.0,375.0,555,385.0
1,17,18,1,235.0,190.0,155.0,360.0,545,385.0
2,17,18,1,235.0,190.0,155.0,370.0,555,385.0
3,17,18,1,235.0,180.0,155.0,380.0,555,385.0
4,17,18,1,235.0,185.0,155.0,370.0,550,385.0
5,17,18,1,235.0,190.0,155.0,350.0,535,385.0
6,17,18,1,235.0,175.0,155.0,390.0,560,385.0
7,17,18,1,235.0,175.0,155.0,405.0,575,385.0
8,17,18,1,235.0,175.0,155.0,410.0,580,385.0
9,17,18,1,235.0,170.0,155.0,420.0,585,385.0
10,17,18,1,235.0,165.0,155.0,430.0,590,385.0
11,17,18,1,235.0,175.0,155.0,395.0,565,385.0
12,17,18,1,235.0,175.0,155.0,420.0,590,385.0
13,17,18,1,235.0,190.0,155.0,400.0,585,385.0
14,17,10,1,400.0,170.0,155.0,470.0,635,550.0
15,17,10,1,400.0,165.0,155.0,470.0,630,550.0
16,17,10,1,400.0,205.0,155.0,440.0,640,550.0
17,17,10,1,400.0,170.0,155.0,480.0,645,550.0
18,17,10,1,400.0,175.0,155.0,470.0,640,550.0
19,17,10,1,400.0,170.0,155.0,455.0,620,550.0
20,17,10,1,400.0,160.0,155.0,490.0,645,550.0
21,17,10,1,400.0,150.0,155.0,490.0,635,550.0
22,17,10,1,400.0,160.0,155.0,495.0,650,550.0
23,17,10,1,400.0,150.0,155.0,515.0,660,550.0
24,17,10,1,400.0,130.0,155.0,550.0,675,550.0
25,17,10,1,400.0,140.0,155.0,495.0,630,550.0
26,17,10,1,400.0,145.0,155.0,530.0,670,550.0
27,17,10,1,400.0,175.0,155.0,500.0,670,550.0
28,17,12,1,640.0,365.0,155.0,465.0,825,790.0
29,17,12,1,640.0,355.0,155.0,470.0,820,790.0
30,17,12,1,640.0,390.0,155.0,440.0,825,790.0
31,17,12,1,640.0,360.0,155.0,480.0,835,790.0
32,17,12,1,640.0,370.0,155.0,465.0,830,790.0
33,17,12,1,640.0,265.0,155.0,460.0,720,790.0
34,17,12,1,640.0,360.0,155.0,490.0,845,790.0
35,17,12,1,640.0,245.0,155.0,490.0,730,790.0
36,17,12,1,640.0,275.0,155.0,490.0,760,790.0
37,17,12,1,640.0,335.0,155.0,510.0,840,790.0
38,17,12,1,640.0,320.0,155.0,550.0,865,790.0
39,17,12,1,640.0,200.0,155.0,495.0,690,790.0
40,17,12,1,640.0,315.0,155.0,530.0,840,790.0
41,17,12,1,640.0,345.0,155.0,500.0,840,790.0
42,17,27,1,300.0,150.0,400.0,680.0,825,695.0
43,17,27,1,300.0,150.0,400.0,675.0,820,695.0
44,17,27,1,300.0,160.0,400.0,655.0,810,695.0
45,17,27,1,300.0,150.0,400.0,680.0,825,695.0
46,17,27,1,300.0,150.0,400.0,675.0,820,695.0
47,17,27,1,300.0,155.0,400.0,670.0,820,695.0
48,17,27,1,300.0,155.0,400.0,675.0,825,695.0
49,17,27,1,300.0,190.0,400.0,715.0,900,695.0
50,17,27,1,300.0,190.0,400.0,720.0,905,695.0
51,17,27,1,300.0,185.0,400.0,725.0,905,695.0
52,17,27,1,300.0,195.0,400.0,720.0,910,695.0
53,17,27,1,300.0,190.0,400.0,715.0,900,695.0
54,17,27,1,300.0,190.0,400.0,725.0,910,695.0
55,17,27,1,300.0,210.0,400.0,700.0,905,695.0
56,17,30,1,170.0,40.0,570.0,900.0,935,735.0
57,17,30,1,170.0,45.0,570.0,895.0,935,735.0
58,17,30,1,170.0,65.0,570.0,875.0,935,735.0
59,17,30,1,170.0,35.0,570.0,910.0,940,735.0
60,17,30,1,170.0,35.0,570.0,905.0,935,735.0
61,17,30,1,170.0,45.0,570.0,890.0,930,735.0
62,17,30,1,170.0,45.0,570.0,900.0,940,735.0
63,17,11,1,450.0,220.0,155.0,465.0,680,600.0
64,17,11,1,450.0,205.0,155.0,470.0,670,600.0
65,17,11,1,450.0,240.0,155.0,440.0,675,600.0
66,17,11,1,450.0,205.0,155.0,485.0,685,600.0
67,17,11,1,450.0,210.0,155.0,465.0,670,600.0
68,17,11,1,450.0,200.0,155.0,460.0,655,600.0
69,17,11,1,450.0,195.0,155.0,495.0,685,600.0
70,17,11,1,450.0,180.0,155.0,490.0,665,600.0
71,17,11,1,450.0,195.0,155.0,495.0,685,600.0
72,17,11,1,450.0,190.0,155.0,515.0,700,600.0
73,17,11,1,450.0,170.0,155.0,545.0,710,600.0
74,17,11,1,450.0,165.0,155.0,495.0,655,600.0
75,17,11,1,450.0,185.0,155.0,525.0,705,600.0
76,17,11,1,450.0,210.0,155.0,500.0,705,600.0
77,17,19,1,555.0,460.0,155.0,370.0,825,705.0
78,17,19,1,555.0,465.0,155.0,360.0,820,705.0
79,17,19,1,555.0,460.0,155.0,370.0,825,705.0
80,17,19,1,555.0,450.0,155.0,380.0,825,705.0
81,17,19,1,555.0,455.0,155.0,370.0,820,705.0
82,17,19,1,555.0,470.0,155.0,350.0,815,705.0
83,17,19,1,555.0,425.0,155.0,390.0,810,705.0
84,17,19,1,555.0,435.0,155.0,405.0,835,705.0
85,17,19,1,555.0,435.0,155.0,410.0,840,705.0
86,17,19,1,555.0,430.0,155.0,420.0,845,705.0
87,17,19,1,555.0,425.0,155.0,430.0,850,705.0
88,17,19,1,555.0,440.0,155.0,395.0,830,705.0
89,17,19,1,555.0,430.0,155.0,420.0,845,705.0
90,17,19,1,555.0,450.0,155.0,400.0,845,705.0
91,17,9,1,215.0,25.0,155.0,475.0,495,365.0
92,17,9,1,215.0,55.0,155.0,445.0,495,365.0
93,17,9,1,215.0,10.0,155.0,495.0,500,365.0
94,17,9,1,215.0,20.0,155.0,475.0,490,365.0
95,17,9,1,215.0,5.0,155.0,505.0,505,365.0
96,17,9,1,215.0,10.0,155.0,515.0,520,365.0
97,17,35,1,370.0,165.0,445.0,725.0,885,810.0
98,17,35,1,370.0,165.0,445.0,725.0,885,810.0
99,17,35,1,370.0,180.0,445.0,710.0,885,810.0
100,17,35,1,370.0,160.0,445.0,730.0,885,810.0
101,17,35,1,370.0,165.0,445.0,725.0,885,810.0
102,17,35,1,370.0,165.0,445.0,725.0,885,810.0
103,17,35,1,370.0,165.0,445.0,725.0,885,810.0
104,17,35,1,370.0,225.0,445.0,775.0,995,810.0
105,17,35,1,370.0,225.0,445.0,775.0,995,810.0
106,17,35,1,370.0,225.0,445.0,775.0,995,810.0
107,17,35,1,370.0,230.0,445.0,770.0,995,810.0
108,17,35,1,370.0,225.0,445.0,775.0,995,810.0
109,17,35,1,370.0,220.0,445.0,780.0,995,810.0
110,17,35,1,370.0,250.0,445.0,750.0,995,810.0
111,17,36,1,525.0,240.0,445.0,725.0,960,965.0
112,17,36,1,525.0,240.0,445.0,725.0,960,965.0
113,17,36,1,525.0,255.0,445.0,710.0,960,965.0
114,17,36,1,525.0,235.0,445.0,730.0,960,965.0
115,17,36,1,525.0,240.0,445.0,725.0,960,965.0
116,17,36,1,525.0,240.0,445.0,725.0,960,965.0
117,17,36,1,525.0,235.0,445.0,730.0,960,965.0
118,17,36,1,525.0,225.0,445.0,775.0,995,965.0
119,17,36,1,525.0,225.0,445.0,775.0,995,965.0
120,17,36,1,525.0,220.0,445.0,780.0,995,965.0
121,17,36,1,525.0,230.0,445.0,770.0,995,965.0
122,17,36,1,525.0,225.0,445.0,775.0,995,965.0
123,17,36,1,525.0,220.0,445.0,780.0,995,965.0
124,17,36,1,525.0,250.0,445.0,750.0,995,965.0
125,17,40,1,265.0,15.0,670.0,985.0,995,930.0
126,17,40,1,265.0,20.0,670.0,980.0,995,930.0
127,17,40,1,265.0,30.0,670.0,970.0,995,930.0
128,17,40,1,265.0,15.0,670.0,985.0,995,930.0
129,17,40,1,265.0,15.0,670.0,985.0,995,930.0
130,17,40,1,265.0,20.0,670.0,980.0,995,930.0
131,17,40,1,265.0,15.0,670.0,985.0,995,930.0
132,17,26,1,235.0,150.0,400.0,680.0,825,630.0
133,17,26,1,235.0,155.0,400.0,675.0,825,630.0
134,17,26,1,235.0,170.0,400.0,660.0,825,630.0
135,17,26,1,235.0,155.0,400.0,680.0,830,630.0
136,17,26,1,235.0,150.0,400.0,680.0,825,630.0
137,17,26,1,235.0,150.0,400.0,675.0,820,630.0
138,17,26,1,235.0,160.0,400.0,675.0,830,630.0
139,17,26,1,235.0,125.0,400.0,720.0,840,630.0
140,17,26,1,235.0,125.0,400.0,725.0,845,630.0
141,17,26,1,235.0,125.0,400.0,730.0,850,630.0
142,17,26,1,235.0,135.0,400.0,720.0,850,630.0
143,17,26,1,235.0,135.0,400.0,710.0,840,630.0
144,17,26,1,235.0,130.0,400.0,725.0,850,630.0
