Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T2,T3,Reaction time(T3-t2),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP
0,0,N/A,patientF,140,row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32,44,0,256,0,0,44,,0.14666666666666667,60.0,N/A,N/A,0, 0.46,0.92,300,0,0,0, 0,0,1
0,0,N/A,patientF,200,row_4||row_4||row_4||row_5||row_5||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32,68,9,223,9,0,68,0.0,0.23367697594501718,11.0,59.0,48.0,0, 0.43,0.83,300,57.67647482861803,1.0,0, 0,1,0
0,0,N/A,patientF,160,row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32,60,0,240,0,0,60,,0.2,47.0,N/A,N/A,0, 0.44,0.89,300,0,0,0, 0,0,1
0,0,N/A,patientF,80,row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32,64,0,236,0,0,64,,0.21333333333333335,15.0,N/A,N/A,0, 0.44,0.88,300,0,0,0, 0,0,1
0,0,N/A,patientF,120,row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_27||row_27||row_27||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_27,56,0,244,0,0,56,,0.18666666666666668,32.0,N/A,N/A,0, 0.45,0.90,300,0,0,0, 0,0,1
0,0,N/A,patientF,100,row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32,47,0,253,0,0,47,,0.15666666666666668,26.0,N/A,N/A,0, 0.46,0.92,300,0,0,0, 0,0,1
0,0,N/A,patientF,180,row_4||row_4||row_4||row_4||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32,47,0,253,0,0,47,,0.15666666666666668,7.0,N/A,N/A,0, 0.46,0.92,300,0,0,0, 0,0,1
0,0,N/A,patientG,80,row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27,10,0,290,0,0,10,,0.03333333333333333,15.0,N/A,N/A,0, 0.49,0.98,300,0,0,0, 0,0,1
0,0,N/A,patientG,180,row_4||row_4||row_4||row_4||row_4||row_4||row_4||row_4||row_4||row_5||row_5,11,0,289,0,0,11,,0.03666666666666667,7.0,N/A,N/A,0, 0.49,0.98,300,0,0,0, 0,0,1
0,0,N/A,patientG,120,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientG,100,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientG,200,row_4||row_4||row_4||row_4||row_4||row_4||row_5||row_5||row_5||row_5,10,0,290,0,0,10,,0.03333333333333333,13.0,N/A,N/A,0, 0.49,0.98,300,0,0,0, 0,0,1
0,0,N/A,patientG,160,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientG,140,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientH,140,row_32||row_27||row_32||row_27||row_32||row_32||row_27||row_27||row_27||row_27||row_27||row_27,12,0,288,0,0,12,,0.04,45.0,N/A,N/A,0, 0.49,0.98,300,0,0,0, 0,0,1
0,0,N/A,patientH,180,row_4||row_4||row_4||row_4||row_5||row_27||row_32||row_27||row_32||row_32||row_32||row_27||row_27||row_27||row_27,15,0,285,0,0,15,,0.05,7.0,N/A,N/A,0, 0.49,0.97,300,0,0,0, 0,0,1
0,0,N/A,patientH,80,row_27||row_27||row_27||row_27||row_27||row_27||row_27,7,0,293,0,0,7,,0.023333333333333334,21.0,N/A,N/A,0, 0.49,0.99,300,0,0,0, 0,0,1
0,0,N/A,patientH,120,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientH,160,row_32||row_32||row_27||row_32||row_32||row_27||row_27||row_27||row_27||row_27||row_27||row_27||row_27,13,0,287,0,0,13,,0.043333333333333335,44.0,N/A,N/A,0, 0.49,0.98,300,0,0,0, 0,0,1
0,0,N/A,patientH,200,row_4||row_4||row_5||row_5||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_27||row_27||row_27||row_27||row_27||row_27,18,0,282,0,0,18,,0.06,13.0,N/A,N/A,0, 0.48,0.97,300,0,0,0, 0,0,1
0,0,N/A,patientH,100,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientE,200,row_4||row_4||row_4||row_4||row_5||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_27||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32||row_32,68,0,232,0,0,68,,0.22666666666666666,13.0,N/A,N/A,0, 0.44,0.87,300,0,0,0, 0,0,1
