,Baseline HardwareFI,HardwareFI_WOT, Hardware FI,Baseline Faultfree, Faultfree_WOT,Faultfree
Totalnum, 491, 659, 687, 329, 4032, 4032, 4032, 70, 70, 70
Alertnum, 264, 317, 324, 82, 1551, 3498, 1425, 12, 55, 0
Hazardnum,1,1,1,0,613,613,613,1,1,1
Hazard Coverage,0.20%,0.15%,0.15%,0.00%,15.20%,15.20%,15.20%,1.43%,1.43%,1.43%
avg_TN,194.99,196.17,196.31,199.68,179.51,169.01,184.07,296.51,261.53,299.87
avg_TP,0.04,0.03,0.03,0.00,7.11,3.80,3.61,0.13,0.00,0.00
avg_FP,4.87,3.72,3.59,0.32,13.16,23.66,8.60,3.36,38.34,0.00
avg_FN,0.10,0.07,0.07,0.00,0.00,3.30,3.49,0.00,0.13,0.13
f1_micro_avg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
f1_macro_avg,0.73 ,0.76 ,0.76 ,0.88 ,0.83 ,0.55 ,0.82 ,0.91 ,0.57 ,0.99 
f1_weighted_avg,0.99,0.99,0.99,1.00,0.95,0.90,0.95,0.99,0.93,1.00

MTTF/mins,130.00,130.00,130.00,nan,317.09,317.09,317.09,,,
MTTF_std/mins,0.00,0.00,0.00,nan,110.66,110.66,110.66,,,
Latency(T2-T1)/min,303.26,289.89,292.64,286.77,-47.38,-261.98,98.64,,,
Latency_std/min,115.19,109.36,109.75,93.93,376.18,328.73,99.19,,,
Reaction_time/mins,440.00,440.00,440.00,nan,203.51,413.66,238.02,270.00,240.00,-1.00
Reaction_time_std/mins,0.00       ,0.00       ,0.00       ,nan       ,177.12       ,197.95       ,72.25       ,0.00       ,0.00       ,nan       
TN,227 (46.2%),342 (51.9%),363 (52.8%),247 (75.1%),2481 (61.5%),534 (13.2%),2607 (64.7%),58 (82.9%),15 (21.4%),69 (98.6%)
TP,1 (0.2%),1 (0.2%),1 (0.1%),0 (0.0%),613 (15.2%),613 (15.2%),613 (15.2%),1 (1.4%),1 (1.4%),0 (0.0%)
FP,263 (53.6%),316 (48.0%),323 (47.0%),82 (24.9%),938 (23.3%),2885 (71.6%),812 (20.1%),11 (15.7%),54 (77.1%),0 (0.0%)
FN,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (1.4%)
F1_micro,0,0,0,0,0,0,0,0,0,0
F1_macro,0.32 ,0.35 ,0.35 ,0.43 ,0.70 ,0.28 ,0.73 ,0.53 ,0.20 ,0.50 
F1_weighted,0.63,0.68,0.69,0.86,0.80,0.27,0.83,0.90,0.35,0.98
