Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),Iteration_number
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,200,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,8,0,155,0,0,8,184.0,24.0,N/A,invalid,N/A,N/A,164
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,280,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_31,9,0,177,0,0,9,184.0,28.0,N/A,invalid,N/A,N/A,187
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,320,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,9,0,178,0,0,9,184.0,29.0,N/A,invalid,N/A,N/A,188
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,240,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,9,0,178,0,0,9,184.0,25.0,N/A,invalid,N/A,N/A,188
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,180,row_37||row_37||row_37||row_37,4,0,183,0,0,4,184.0,27.0,N/A,invalid,N/A,N/A,188
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,260,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,9,0,140,0,0,9,184.0,27.0,N/A,invalid,N/A,N/A,150
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,100,N/A,0,0,186,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,187
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,220,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,8,0,178,0,0,8,184.0,25.0,N/A,invalid,N/A,N/A,187
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,140,N/A,0,0,133,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,134
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,300,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,9,0,178,0,0,9,184.0,29.0,N/A,invalid,N/A,N/A,188
