Scenario#,Fault#,Fault-line,Alerts,Hazards,T1,T2,T3
1,1,"if glucose < bg_target:||loaded_suggested_data["rate"]+=0.12",Comma unavailable,N/A,1555683232.24,0.0,N/A
1,2,"if glucose < bg_target:||loaded_suggested_data["rate"]+=0.26",Comma unavailable,N/A,1555743523.78,0.0,N/A
1,3,"if glucose < bg_target:||loaded_suggested_data["rate"]+=0.32",Comma unavailable,N/A,1555727324.04,0.0,N/A
1,4,"if glucose < bg_target:||loaded_suggested_data["rate"]+=0.44",Comma unavailable,N/A,1555687406.1,0.0,N/A
1,5,"if glucose < bg_target:||loaded_suggested_data["rate"]+=0.59",Comma unavailable,N/A,1555747683.12,0.0,N/A
1,6,"if glucose < bg_target:||loaded_suggested_data["rate"]+=0.69",Comma unavailable,N/A,1555732707.4,0.0,N/A
1,7,"if glucose < bg_target:||loaded_suggested_data["rate"]+=0.73",Comma unavailable,N/A,1555792987.18,0.0,N/A
1,8,"if glucose < bg_target:||loaded_suggested_data["rate"]+=0.85",Comma unavailable,N/A,1555853266.47,0.0,N/A
1,9,"if glucose < bg_target:||loaded_suggested_data["rate"]+=0.98",Comma unavailable,N/A,1555731483.86,0.0,N/A
1,10,"if glucose < bg_target:||loaded_suggested_data["rate"]+=1.05",Comma unavailable,N/A,1555791763.06,0.0,N/A
1,11,"if glucose < bg_target:||loaded_suggested_data["rate"]+=1.18",Comma unavailable,N/A,1555687945.14,0.0,N/A
1,12,"if glucose < bg_target:||loaded_suggested_data["rate"]+=1.23",Comma unavailable,N/A,1555748223.73,0.0,N/A
1,13,"if glucose < bg_target:||loaded_suggested_data["rate"]+=1.35",Comma unavailable,N/A,1555808537.39,0.0,N/A
1,14,"if glucose < bg_target:||loaded_suggested_data["rate"]+=1.47",Comma unavailable,N/A,1555711321.56,0.0,N/A
1,15,"if glucose < bg_target:||loaded_suggested_data["rate"]+=1.54",Comma unavailable,N/A,1555771648.05,0.0,N/A
1,16,"if glucose < bg_target:||loaded_suggested_data["rate"]+=1.61",Comma unavailable,N/A,1555697579.24,0.0,N/A
1,17,"if glucose < bg_target:||loaded_suggested_data["rate"]+=1.76",Comma unavailable,N/A,1555757938.71,0.0,N/A
1,18,"if glucose < bg_target:||loaded_suggested_data["rate"]+=1.85",Comma unavailable,N/A,1555689564.32,0.0,N/A
1,19,"if glucose < bg_target:||loaded_suggested_data["rate"]+=1.98",Comma unavailable,N/A,1555749887.7,0.0,N/A
