Scenario#,Fault#,Fault-line,Alerts,Hazards,T1,T2,T3
2,1,"if glucose < bg_target:||loaded_suggested_data["rate"]=1.07",Comma unavailable,N/A,1555826026.74,0.0,N/A
2,2,"if glucose < bg_target:||loaded_suggested_data["rate"]=1.19",Comma unavailable,N/A,1555693776.65,0.0,N/A
2,3,"if glucose < bg_target:||loaded_suggested_data["rate"]=1.27",Comma unavailable,N/A,1555754104.75,0.0,N/A
2,4,"if glucose < bg_target:||loaded_suggested_data["rate"]=1.36",Comma unavailable,N/A,1555697082.16,0.0,N/A
2,5,"if glucose < bg_target:||loaded_suggested_data["rate"]=1.45",Comma unavailable,N/A,1555697520.78,0.0,N/A
2,6,"if glucose < bg_target:||loaded_suggested_data["rate"]=1.53",Comma unavailable,N/A,1555757796.76,0.0,N/A
2,7,"if glucose < bg_target:||loaded_suggested_data["rate"]=1.65",Comma unavailable,N/A,1555818079.65,0.0,N/A
2,8,"if glucose < bg_target:||loaded_suggested_data["rate"]=1.77",Comma unavailable,N/A,1555722657.66,0.0,N/A
2,9,"if glucose < bg_target:||loaded_suggested_data["rate"]=1.89",Comma unavailable,N/A,1555749984.83,0.0,N/A
2,10,"if glucose < bg_target:||loaded_suggested_data["rate"]=1.98",Comma unavailable,N/A,1555718784.69,0.0,N/A
2,11,"if glucose < bg_target:||loaded_suggested_data["rate"]=2.01",Comma unavailable,N/A,1555719042.79,0.0,N/A
2,12,"if glucose < bg_target:||loaded_suggested_data["rate"]=2.1",Comma unavailable,N/A,1555779325.3,0.0,N/A
2,13,"if glucose < bg_target:||loaded_suggested_data["rate"]=2.28",Comma unavailable,N/A,1555839608.96,0.0,N/A
2,14,"if glucose < bg_target:||loaded_suggested_data["rate"]=2.36",Comma unavailable,N/A,1555712390.14,0.0,N/A
2,15,"if glucose < bg_target:||loaded_suggested_data["rate"]=2.47",Comma unavailable,N/A,1555772706.26,0.0,N/A
2,16,"if glucose < bg_target:||loaded_suggested_data["rate"]=2.51",Comma unavailable,N/A,1555832968.27,0.0,N/A
2,17,"if glucose < bg_target:||loaded_suggested_data["rate"]=2.66",Comma unavailable,N/A,1555709334.67,0.0,N/A
2,18,"if glucose < bg_target:||loaded_suggested_data["rate"]=2.79",Comma unavailable,N/A,1555769597.37,0.0,N/A
2,19,"if glucose < bg_target:||loaded_suggested_data["rate"]=2.87",Comma unavailable,N/A,1555829903.44,0.0,N/A
2,20,"if glucose < bg_target:||loaded_suggested_data["rate"]=2.94",Comma unavailable,N/A,1555735722.78,0.0,N/A
2,21,"if glucose < bg_target:||loaded_suggested_data["rate"]=3.0",Comma unavailable,N/A,1555796045.02,0.0,N/A
2,22,"if glucose < bg_target:||loaded_suggested_data["rate"]=3.19",Comma unavailable,N/A,1555722867.28,0.0,N/A
2,23,"if glucose < bg_target:||loaded_suggested_data["rate"]=3.23",Comma unavailable,N/A,1555783185.71,0.0,N/A
