Scenario#,Fault#,Fault-line,Alerts,Hazards,T1,T2,T3
7,1,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=13||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,2,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=26||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,3,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=30||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,4,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=47||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,5,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=58||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,6,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=66||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,7,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=73||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,8,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=82||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,9,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=93||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,10,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=103||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,11,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=118||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,12,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=126||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,13,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=137||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,14,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=146||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,15,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=159||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,16,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=162||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,17,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=171||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,18,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=183||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,19,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=198||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,20,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=208||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,21,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=215||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,22,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=224||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,23,"if loaded_glucose > 120:||data_to_prepend["glucose"]-=238||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
