Scenario#,Fault#,Fault-line,Alerts,Hazards,T1,T2,T3
5,1,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=15",Comma unavailable,N/A,N/A,0.0,N/A
5,2,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=25",Comma unavailable,N/A,N/A,0.0,N/A
5,3,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=33",Comma unavailable,N/A,N/A,0.0,N/A
5,4,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=46",Comma unavailable,N/A,N/A,0.0,N/A
5,5,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=57",Comma unavailable,N/A,N/A,0.0,N/A
5,6,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=64",Comma unavailable,N/A,N/A,0.0,N/A
5,7,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=75",Comma unavailable,N/A,N/A,0.0,N/A
5,8,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=82",Comma unavailable,N/A,N/A,0.0,N/A
5,9,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=99",Comma unavailable,N/A,N/A,0.0,N/A
5,10,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=105",Comma unavailable,N/A,N/A,0.0,N/A
5,11,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=117",Comma unavailable,N/A,N/A,0.0,N/A
5,12,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=120",Comma unavailable,N/A,N/A,0.0,N/A
5,13,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=132",Comma unavailable,N/A,N/A,0.0,N/A
5,14,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=146",Comma unavailable,N/A,N/A,0.0,N/A
5,15,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=157",Comma unavailable,N/A,N/A,0.0,N/A
5,16,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=169",Comma unavailable,N/A,N/A,0.0,N/A
5,17,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=170",Comma unavailable,N/A,N/A,0.0,N/A
5,18,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=184",Comma unavailable,N/A,N/A,0.0,N/A
5,19,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=193",Comma unavailable,N/A,N/A,0.0,N/A
5,20,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=206",Comma unavailable,N/A,N/A,0.0,N/A
5,21,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=210",Comma unavailable,N/A,N/A,0.0,N/A
5,22,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=225",Comma unavailable,N/A,N/A,0.0,N/A
5,23,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=235",Comma unavailable,N/A,N/A,0.0,N/A
5,24,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=240",Comma unavailable,N/A,N/A,0.0,N/A
5,25,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=253",Comma unavailable,N/A,N/A,0.0,N/A
5,26,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=265",Comma unavailable,N/A,N/A,0.0,N/A
5,27,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=273",Comma unavailable,N/A,N/A,0.0,N/A
5,28,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=283",Comma unavailable,N/A,N/A,0.0,N/A
5,29,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=299",Comma unavailable,N/A,N/A,0.0,N/A
5,30,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=306",Comma unavailable,N/A,N/A,0.0,N/A
5,31,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=313",Comma unavailable,N/A,N/A,0.0,N/A
5,32,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=329",Comma unavailable,N/A,N/A,0.0,N/A
5,33,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=336",Comma unavailable,N/A,N/A,0.0,N/A
5,34,"if loaded_glucose < 110:||data_to_prepend["glucose"]+=340",Comma unavailable,N/A,N/A,0.0,N/A
