Scenario#,Fault#,Fault-line,Alerts,Hazards,T1,T2,T3
1,1,"if _>=104:||loaded_suggested_data["rate"]+=0.13",Comma unavailable,N/A,1555648354.75,0.0,N/A
1,2,"if _>=76:||loaded_suggested_data["rate"]+=0.21",Comma unavailable,N/A,1555559546.47,0.0,N/A
1,3,"if _>=167:||loaded_suggested_data["rate"]+=0.38",Comma unavailable,N/A,1555587244.93,0.0,N/A
1,4,"if _>=97:||loaded_suggested_data["rate"]+=0.44",Comma unavailable,N/A,1555626414.32,0.0,N/A
1,5,"if _>=17:||loaded_suggested_data["rate"]+=0.53",Comma unavailable,N/A,1555662597.86,0.0,N/A
1,6,"if _>=58:||loaded_suggested_data["rate"]+=0.6",Comma unavailable,N/A,1555542595.02,0.0,N/A
1,7,"if _>=171:||loaded_suggested_data["rate"]+=0.79",Comma unavailable,N/A,1555635797.5,0.0,N/A
1,8,"if _>=25:||loaded_suggested_data["rate"]+=0.85",Comma unavailable,N/A,1555541690.68,0.0,N/A
1,9,"if _>=69:||loaded_suggested_data["rate"]+=0.93",Comma unavailable,N/A,1555580740.29,0.0,N/A
1,10,"if _>=21:||loaded_suggested_data["rate"]+=1.03",Comma unavailable,N/A,1555626588.91,0.0,N/A
1,11,"if _>=134:||loaded_suggested_data["rate"]+=1.15",Comma unavailable,N/A,1555540031.47,0.0,N/A
1,12,"if _>=132:||loaded_suggested_data["rate"]+=1.24",Comma unavailable,N/A,1555599708.52,0.0,N/A
1,13,"if _>=186:||loaded_suggested_data["rate"]+=1.39",Comma unavailable,N/A,1555670571.95,0.0,N/A
1,14,"if _>=13:||loaded_suggested_data["rate"]+=1.44",Comma unavailable,N/A,1555536841.23,0.0,N/A
1,15,"if _>=65:||loaded_suggested_data["rate"]+=1.52",Comma unavailable,N/A,1555612790.84,0.0,N/A
1,16,"if _>=119:||loaded_suggested_data["rate"]+=1.61",Comma unavailable,N/A,1555535150.74,0.0,N/A
1,17,"if _>=109:||loaded_suggested_data["rate"]+=1.72",Comma unavailable,N/A,1555565389.59,0.0,N/A
1,18,"if _>=152:||loaded_suggested_data["rate"]+=1.85",Comma unavailable,N/A,1555638667.85,0.0,N/A
1,19,"if _>=75:||loaded_suggested_data["rate"]+=1.97",Comma unavailable,N/A,1555675743.64,0.0,N/A
1,20,"if _>=127:||loaded_suggested_data["rate"]+=2.09",Comma unavailable,N/A,1555581621.12,0.0,N/A
1,21,"if _>=98:||loaded_suggested_data["rate"]+=2.1",Comma unavailable,N/A,1555633190.21,0.0,N/A
1,22,"if _>=143:||loaded_suggested_data["rate"]+=2.29",Comma unavailable,N/A,1555581397.5,0.0,N/A
1,23,"if _>=37:||loaded_suggested_data["rate"]+=2.38",Comma unavailable,N/A,1555609737.14,0.0,N/A
1,24,"if _>=75:||loaded_suggested_data["rate"]+=2.43",Comma unavailable,N/A,1555681495.8,0.0,N/A
1,25,"if _>=64:||loaded_suggested_data["rate"]+=2.54",Comma unavailable,N/A,1555565434.51,0.0,N/A
1,26,"if _>=55:||loaded_suggested_data["rate"]+=2.65",Comma unavailable,N/A,1555623069.29,0.0,N/A
1,27,"if _>=56:||loaded_suggested_data["rate"]+=2.71",Comma unavailable,N/A,1555683675.52,0.0,N/A
1,28,"if _>=56:||loaded_suggested_data["rate"]+=2.83",Comma unavailable,N/A,1555592162.21,0.0,N/A
1,29,"if _>=50:||loaded_suggested_data["rate"]+=2.9",Comma unavailable,N/A,1555650630.8,0.0,N/A
1,30,"if _>=23:||loaded_suggested_data["rate"]+=3.09",N/A,N/A,0,N/A,N/A
1,31,"if _>=143:||loaded_suggested_data["rate"]+=3.16",Comma unavailable,N/A,1555652850.04,0.0,N/A
1,32,"if _>=19:||loaded_suggested_data["rate"]+=3.28",N/A,N/A,92753.8699999,N/A,N/A
1,33,"if _>=123:||loaded_suggested_data["rate"]+=3.3",Comma unavailable,N/A,1555621578.99,0.0,N/A
1,34,"if _>=32:||loaded_suggested_data["rate"]+=3.41",N/A,N/A,0,N/A,N/A
