Scenario#,Fault#,Fault-line,Alerts,Hazards,T1,T2,T3
2,1,"if _>=188:||loaded_suggested_data["rate"]=1.05",Comma unavailable,N/A,N/A,0.0,N/A
2,2,"if _>=31:||loaded_suggested_data["rate"]=1.14",Comma unavailable,N/A,N/A,0.0,N/A
2,3,"if _>=44:||loaded_suggested_data["rate"]=1.24",Comma unavailable,N/A,N/A,0.0,N/A
2,4,"if _>=99:||loaded_suggested_data["rate"]=1.38",Comma unavailable,N/A,N/A,0.0,N/A
2,5,"if _>=13:||loaded_suggested_data["rate"]=1.42",Comma unavailable,N/A,N/A,0.0,N/A
2,6,"if _>=170:||loaded_suggested_data["rate"]=1.55",Comma unavailable,N/A,N/A,0.0,N/A
2,7,"if _>=77:||loaded_suggested_data["rate"]=1.6",Comma unavailable,N/A,N/A,0.0,N/A
2,8,"if _>=149:||loaded_suggested_data["rate"]=1.76",Comma unavailable,N/A,N/A,0.0,N/A
2,9,"if _>=187:||loaded_suggested_data["rate"]=1.84",Comma unavailable,N/A,N/A,0.0,N/A
2,10,"if _>=53:||loaded_suggested_data["rate"]=1.94",Comma unavailable,N/A,N/A,0.0,N/A
2,11,"if _>=113:||loaded_suggested_data["rate"]=2.01",Comma unavailable,N/A,N/A,0.0,N/A
2,12,"if _>=186:||loaded_suggested_data["rate"]=2.16",Comma unavailable,N/A,N/A,0.0,N/A
2,13,"if _>=78:||loaded_suggested_data["rate"]=2.25",Comma unavailable,N/A,N/A,0.0,N/A
2,14,"if _>=119:||loaded_suggested_data["rate"]=2.37",Comma unavailable,N/A,N/A,0.0,N/A
2,15,"if _>=76:||loaded_suggested_data["rate"]=2.44",Comma unavailable,N/A,N/A,0.0,N/A
2,16,"if _>=117:||loaded_suggested_data["rate"]=2.54",Comma unavailable,N/A,N/A,0.0,N/A
2,17,"if _>=163:||loaded_suggested_data["rate"]=2.65",Comma unavailable,N/A,N/A,0.0,N/A
2,18,"if _>=102:||loaded_suggested_data["rate"]=2.71",Comma unavailable,N/A,N/A,0.0,N/A
2,19,"if _>=160:||loaded_suggested_data["rate"]=2.83",Comma unavailable,N/A,N/A,0.0,N/A
2,20,"if _>=175:||loaded_suggested_data["rate"]=2.95",Comma unavailable,N/A,N/A,0.0,N/A
2,21,"if _>=40:||loaded_suggested_data["rate"]=3.04",Comma unavailable,N/A,N/A,0.0,N/A
2,22,"if _>=27:||loaded_suggested_data["rate"]=3.11",Comma unavailable,N/A,N/A,0.0,N/A
2,23,"if _>=28:||loaded_suggested_data["rate"]=3.28",Comma unavailable,N/A,N/A,0.0,N/A
2,24,"if _>=46:||loaded_suggested_data["rate"]=3.39",Comma unavailable,N/A,N/A,0.0,N/A
2,25,"if _>=23:||loaded_suggested_data["rate"]=3.49",Comma unavailable,N/A,N/A,0.0,N/A
