Scenario#,Fault#,Fault-line,Alerts,Hazards,T1,T2,T3
3,1,"if _>=154:||loaded_suggested_data["rate"]-=0.1||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,2,"if _>=117:||loaded_suggested_data["rate"]-=0.26||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,3,"if _>=68:||loaded_suggested_data["rate"]-=0.31||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,4,"if _>=41:||loaded_suggested_data["rate"]-=0.49||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,5,"if _>=117:||loaded_suggested_data["rate"]-=0.52||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,6,"if _>=162:||loaded_suggested_data["rate"]-=0.66||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,7,"if _>=104:||loaded_suggested_data["rate"]-=0.7||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,8,"if _>=65:||loaded_suggested_data["rate"]-=0.88||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,9,"if _>=48:||loaded_suggested_data["rate"]-=0.99||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,10,"if _>=163:||loaded_suggested_data["rate"]-=1.06||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,11,"if _>=90:||loaded_suggested_data["rate"]-=1.16||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,12,"if _>=75:||loaded_suggested_data["rate"]-=1.23||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,13,"if _>=11:||loaded_suggested_data["rate"]-=1.35||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,14,"if _>=132:||loaded_suggested_data["rate"]-=1.43||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,15,"if _>=11:||loaded_suggested_data["rate"]-=1.58||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,16,"if _>=32:||loaded_suggested_data["rate"]-=1.63||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,17,"if _>=110:||loaded_suggested_data["rate"]-=1.72||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,18,"if _>=170:||loaded_suggested_data["rate"]-=1.89||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,19,"if _>=133:||loaded_suggested_data["rate"]-=1.98||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,20,"if _>=128:||loaded_suggested_data["rate"]-=2.07||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,21,"if _>=197:||loaded_suggested_data["rate"]-=2.13||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,22,"if _>=12:||loaded_suggested_data["rate"]-=2.26||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,23,"if _>=100:||loaded_suggested_data["rate"]-=2.33||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,24,"if _>=140:||loaded_suggested_data["rate"]-=2.44||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,25,"if _>=94:||loaded_suggested_data["rate"]-=2.5||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,26,"if _>=45:||loaded_suggested_data["rate"]-=2.63||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,27,"if _>=70:||loaded_suggested_data["rate"]-=2.75||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,28,"if _>=68:||loaded_suggested_data["rate"]-=2.82||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,29,"if _>=35:||loaded_suggested_data["rate"]-=2.97||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,30,"if _>=118:||loaded_suggested_data["rate"]-=3.03||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,31,"if _>=174:||loaded_suggested_data["rate"]-=3.19||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,32,"if _>=88:||loaded_suggested_data["rate"]-=3.21||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,33,"if _>=28:||loaded_suggested_data["rate"]-=3.38||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
3,34,"if _>=14:||loaded_suggested_data["rate"]-=3.44||if loaded_suggested_data["rate"]<0:||  loaded_suggested_data["rate"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
