Scenario#,Fault#,Fault-line,Alerts,Hazards,T1,T2,T3
5,1,"if _>=185:||data_to_prepend["glucose"]+=18",Comma unavailable,N/A,N/A,0.0,N/A
5,2,"if _>=81:||data_to_prepend["glucose"]+=22",Comma unavailable,N/A,N/A,0.0,N/A
5,3,"if _>=15:||data_to_prepend["glucose"]+=38",Comma unavailable,N/A,N/A,0.0,N/A
5,4,"if _>=32:||data_to_prepend["glucose"]+=48",Comma unavailable,N/A,N/A,0.0,N/A
5,5,"if _>=98:||data_to_prepend["glucose"]+=51",Comma unavailable,N/A,N/A,0.0,N/A
5,6,"if _>=84:||data_to_prepend["glucose"]+=67",Comma unavailable,N/A,N/A,0.0,N/A
5,7,"if _>=119:||data_to_prepend["glucose"]+=78",Comma unavailable,N/A,N/A,0.0,N/A
5,8,"if _>=97:||data_to_prepend["glucose"]+=88",Comma unavailable,N/A,N/A,0.0,N/A
5,9,"if _>=86:||data_to_prepend["glucose"]+=94",Comma unavailable,N/A,N/A,0.0,N/A
5,10,"if _>=58:||data_to_prepend["glucose"]+=102",Comma unavailable,N/A,N/A,0.0,N/A
5,11,"if _>=47:||data_to_prepend["glucose"]+=113",Comma unavailable,N/A,N/A,0.0,N/A
5,12,"if _>=161:||data_to_prepend["glucose"]+=121",Comma unavailable,N/A,N/A,0.0,N/A
5,13,"if _>=200:||data_to_prepend["glucose"]+=138",Comma unavailable,N/A,N/A,0.0,N/A
5,14,"if _>=29:||data_to_prepend["glucose"]+=143",Comma unavailable,N/A,N/A,0.0,N/A
5,15,"if _>=152:||data_to_prepend["glucose"]+=153",Comma unavailable,N/A,N/A,0.0,N/A
5,16,"if _>=196:||data_to_prepend["glucose"]+=166",Comma unavailable,N/A,N/A,0.0,N/A
5,17,"if _>=47:||data_to_prepend["glucose"]+=173",Comma unavailable,N/A,N/A,0.0,N/A
5,18,"if _>=32:||data_to_prepend["glucose"]+=184",Comma unavailable,N/A,N/A,0.0,N/A
5,19,"if _>=39:||data_to_prepend["glucose"]+=197",Comma unavailable,N/A,N/A,0.0,N/A
5,20,"if _>=115:||data_to_prepend["glucose"]+=208",Comma unavailable,N/A,N/A,0.0,N/A
5,21,"if _>=51:||data_to_prepend["glucose"]+=219",Comma unavailable,N/A,N/A,0.0,N/A
5,22,"if _>=28:||data_to_prepend["glucose"]+=224",Comma unavailable,N/A,N/A,0.0,N/A
5,23,"if _>=136:||data_to_prepend["glucose"]+=230",Comma unavailable,N/A,N/A,0.0,N/A
5,24,"if _>=88:||data_to_prepend["glucose"]+=240",Comma unavailable,N/A,N/A,0.0,N/A
5,25,"if _>=132:||data_to_prepend["glucose"]+=259",Comma unavailable,N/A,N/A,0.0,N/A
5,26,"if _>=120:||data_to_prepend["glucose"]+=262",Comma unavailable,N/A,N/A,0.0,N/A
5,27,"if _>=22:||data_to_prepend["glucose"]+=278",Comma unavailable,N/A,N/A,0.0,N/A
5,28,"if _>=50:||data_to_prepend["glucose"]+=282",Comma unavailable,N/A,N/A,0.0,N/A
5,29,"if _>=21:||data_to_prepend["glucose"]+=294",Comma unavailable,N/A,N/A,0.0,N/A
5,30,"if _>=137:||data_to_prepend["glucose"]+=307",Comma unavailable,N/A,N/A,0.0,N/A
5,31,"if _>=121:||data_to_prepend["glucose"]+=314",Comma unavailable,N/A,N/A,0.0,N/A
5,32,"if _>=84:||data_to_prepend["glucose"]+=323",Comma unavailable,N/A,N/A,0.0,N/A
5,33,"if _>=45:||data_to_prepend["glucose"]+=338",Comma unavailable,N/A,N/A,0.0,N/A
5,34,"if _>=87:||data_to_prepend["glucose"]+=345",Comma unavailable,N/A,N/A,0.0,N/A
