Scenario#,Fault#,Fault-line,Alerts,Hazards,T1,T2,T3
7,1,"if _>=121:||data_to_prepend["glucose"]-=19||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,2,"if _>=113:||data_to_prepend["glucose"]-=25||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,3,"if _>=110:||data_to_prepend["glucose"]-=35||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,4,"if _>=123:||data_to_prepend["glucose"]-=49||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,5,"if _>=115:||data_to_prepend["glucose"]-=50||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,6,"if _>=25:||data_to_prepend["glucose"]-=66||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,7,"if _>=200:||data_to_prepend["glucose"]-=71||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,8,"if _>=150:||data_to_prepend["glucose"]-=86||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,9,"if _>=163:||data_to_prepend["glucose"]-=99||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,10,"if _>=117:||data_to_prepend["glucose"]-=108||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,11,"if _>=143:||data_to_prepend["glucose"]-=113||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,12,"if _>=18:||data_to_prepend["glucose"]-=122||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,13,"if _>=32:||data_to_prepend["glucose"]-=139||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,14,"if _>=97:||data_to_prepend["glucose"]-=144||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,15,"if _>=37:||data_to_prepend["glucose"]-=153||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,16,"if _>=141:||data_to_prepend["glucose"]-=165||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,17,"if _>=84:||data_to_prepend["glucose"]-=172||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,18,"if _>=69:||data_to_prepend["glucose"]-=183||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,19,"if _>=32:||data_to_prepend["glucose"]-=197||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,20,"if _>=93:||data_to_prepend["glucose"]-=202||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,21,"if _>=161:||data_to_prepend["glucose"]-=213||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,22,"if _>=149:||data_to_prepend["glucose"]-=224||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,23,"if _>=162:||data_to_prepend["glucose"]-=239||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,24,"if _>=142:||data_to_prepend["glucose"]-=248||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,25,"if _>=133:||data_to_prepend["glucose"]-=255||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,26,"if _>=136:||data_to_prepend["glucose"]-=261||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,27,"if _>=199:||data_to_prepend["glucose"]-=279||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,28,"if _>=132:||data_to_prepend["glucose"]-=283||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,29,"if _>=156:||data_to_prepend["glucose"]-=299||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
7,30,"if _>=119:||data_to_prepend["glucose"]-=303||if data_to_prepend["glucose"]<0:||  data_to_prepend["glucose"]= 0",Comma unavailable,N/A,N/A,0.0,N/A
